period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,47196.0,47196.0,,,0.0,0.0,0,0,0.0,0.0,47196.0,47196.0,0.0,0.0,47196.0,47196.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47196.0,47196.0,0.0,0.0,5.5,5.5
1,1,1.0,13363.34444,13363.34444,,,,,1986.0,1986.0,1788,1788,1350.0,1350.0,5124.0,52319.0,5124.0,5124.0,,,,,1891.0,1891.0,1703.0,1703.0,1285.0,1285.0,4880.0,52075.0,4880.0,4880.0,3.7,9.2
2,2,2.0,13363.34444,26726.68888,,,,,1986.0,3972.0,1788,3576,1350.0,2699.0,5124.0,57443.0,5124.0,10247.0,,,,,1801.0,3693.0,1622.0,3325.0,1224.0,2510.0,4647.0,56723.0,4647.0,9527.0,3.7,12.9
3,3,3.0,13363.34444,40090.03332,,,,,1986.0,5958.0,1788,5364,1350.0,4049.0,5124.0,62567.0,5124.0,15371.0,,,,,1716.0,5408.0,1545.0,4869.0,1166.0,3676.0,4426.0,61149.0,4426.0,13953.0,3.7,16.6
4,4,4.0,13363.34444,53453.37776,,,,,1986.0,7944.0,1788,7152,1350.0,5399.0,5124.0,67690.0,5124.0,20495.0,,,,,1634.0,7042.0,1471.0,6340.0,1110.0,4786.0,4215.0,65364.0,4215.0,18168.0,3.7,20.3
5,5,5.0,13363.34444,66816.7222,,,,,1986.0,9930.0,1788,8940,1350.0,6748.0,5124.0,72814.0,5124.0,25619.0,,,,,1556.0,8598.0,1401.0,7741.0,1058.0,5843.0,4015.0,69379.0,4015.0,22183.0,3.7,24.0
6,6,6.0,13363.34444,80180.06664,,,,,1986.0,11916.0,1788,10728,1350.0,8098.0,5124.0,77938.0,5124.0,30742.0,,,,,1482.0,10080.0,1334.0,9075.0,1007.0,6851.0,3823.0,73202.0,3823.0,26006.0,3.7,27.7
7,7,7.0,13363.34444,93543.41108,,,,,1986.0,13902.0,1788,12516,1350.0,9448.0,5124.0,83062.0,5124.0,35866.0,,,,,1411.0,11492.0,1271.0,10346.0,959.0,7810.0,3641.0,76843.0,3641.0,29648.0,3.7,31.4
8,8,8.0,13363.34444,106906.75552,,,,,1986.0,15888.0,1788,14304,1350.0,10798.0,5124.0,88185.0,5124.0,40990.0,,,,,1344.0,12836.0,1210.0,11556.0,914.0,8723.0,3468.0,80311.0,3468.0,33116.0,3.7,35.1
9,9,9.0,13363.34444,120270.09996,,,,,1986.0,17874.0,1788,16092,1350.0,12147.0,5124.0,93309.0,5124.0,46113.0,,,,,1280.0,14116.0,1153.0,12709.0,870.0,9593.0,3303.0,83614.0,3303.0,36418.0,3.7,38.8
10,10,10.0,13363.34444,133633.4444,,,,,1986.0,19860.0,1788,17880,1350.0,13497.0,5124.0,98433.0,5124.0,51237.0,,,,,1219.0,15336.0,1098.0,13806.0,829.0,10422.0,3146.0,86759.0,3146.0,39564.0,3.7,42.5
11,11,11.0,13363.34444,146996.78884,,,,,1986.0,21846.0,1788,19668,1350.0,14847.0,5124.0,103556.0,5124.0,56361.0,,,,,1161.0,16497.0,1045.0,14852.0,789.0,11211.0,2996.0,89755.0,2996.0,42560.0,3.7,46.2
12,12,12.0,13363.34444,160360.13328,,,,,1986.0,23832.0,1788,21456,1350.0,16196.0,5124.0,108680.0,5124.0,61485.0,,,,,1106.0,17603.0,996.0,15847.0,752.0,11963.0,2853.0,92608.0,2853.0,45413.0,3.7,49.9
13,13,13.0,13363.34444,173723.47772000002,,,,,1986.0,25818.0,1788,23244,1350.0,17546.0,5124.0,113804.0,5124.0,66608.0,,,,,1053.0,18656.0,948.0,16796.0,716.0,12678.0,2717.0,95326.0,2717.0,48130.0,3.7,53.6
post-use,13,14.3,0.0,173723.47772000002,0.0,47196.0,0,0,0.0,25818.0,0,23244,0.0,17546.0,0.0,113804.0,0.0,66608.0,0.0,47196.0,0,0,0.0,18656.0,0.0,16796.0,0.0,12678.0,0.0,95326.0,0.0,48130.0,0.0,53.6
