period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,47196.0,47196.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47196.0,47196.0,0.0,0.0,47196.0,47196.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47196.0,47196.0,0.0,0.0,5.5,5.5
1,1.0,1.0,11533.46302,11533.46302,,,,,1714.0,1714.0,1788.0,1788.0,1165.0,1165.0,4667.0,51862.0,4667.0,4667.0,,,,,1632.0,1632.0,1703.0,1703.0,1109.0,1109.0,4445.0,51640.0,4445.0,4445.0,3.2,8.7
2,2.0,2.0,11533.46302,23066.92604,,,,,1714.0,3428.0,1788.0,3576.0,1165.0,2330.0,4667.0,56529.0,4667.0,9334.0,,,,,1555.0,3187.0,1622.0,3325.0,1057.0,2166.0,4233.0,55873.0,4233.0,8678.0,3.2,11.9
3,3.0,3.0,11533.46302,34600.38906,,,,,1714.0,5142.0,1788.0,5364.0,1165.0,3495.0,4667.0,61196.0,4667.0,14001.0,,,,,1481.0,4668.0,1545.0,4869.0,1006.0,3172.0,4031.0,59905.0,4031.0,12709.0,3.2,15.0
4,4.0,4.0,11533.46302,46133.85208,,,,,1714.0,6856.0,1788.0,7152.0,1165.0,4660.0,4667.0,65863.0,4667.0,18668.0,,,,,1410.0,6078.0,1471.0,6340.0,958.0,4131.0,3840.0,63744.0,3840.0,16549.0,3.2,18.2
5,5.0,5.0,11533.46302,57667.31509999999,,,,,1714.0,8570.0,1788.0,8940.0,1165.0,5824.0,4667.0,70530.0,4667.0,23335.0,,,,,1343.0,7421.0,1401.0,7741.0,913.0,5043.0,3657.0,67401.0,3657.0,20205.0,3.2,21.4
6,6.0,6.0,11533.46302,69200.77811999999,,,,,1714.0,10284.0,1788.0,10728.0,1165.0,6989.0,4667.0,75197.0,4667.0,28002.0,,,,,1279.0,8700.0,1334.0,9075.0,869.0,5913.0,3483.0,70883.0,3483.0,23688.0,3.2,24.6
7,7.0,7.0,11533.46302,80734.24113999998,,,,,1714.0,11998.0,1788.0,12516.0,1165.0,8154.0,4667.0,79864.0,4667.0,32669.0,,,,,1218.0,9918.0,1271.0,10346.0,828.0,6740.0,3317.0,74200.0,3317.0,27005.0,3.2,27.8
8,8.0,8.0,11533.46302,92267.70415999998,,,,,1714.0,13713.0,1788.0,14304.0,1165.0,9319.0,4667.0,84531.0,4667.0,37336.0,,,,,1160.0,11078.0,1210.0,11556.0,788.0,7529.0,3159.0,77359.0,3159.0,30163.0,3.2,31.0
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,1543.0,15255.0,1609.0,15913.0,1048.0,10367.0,4200.0,88731.0,4200.0,41536.0,,,,,999.0,12078.0,1042.0,12599.0,679.0,8208.0,2721.0,80080.0,2721.0,32884.0,2.9,33.9
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0.0,47196.0,0,0,0.0,15255.0,0.0,15913.0,0.0,10367.0,0.0,88731.0,0.0,41536.0,0.0,47196.0,0,0,0.0,12078.0,0.0,12599.0,0.0,8208.0,0.0,80080.0,0.0,32884.0,0.0,33.9
