period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.314,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,47196.0,47196.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47196.0,47196.0,47196.0,47196.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47196.0,47196.0,5.5,5.5
1,1.0,1.0,11576.0,11576.0,,,,,1382.0,1382.0,1788.0,1788.0,1169.0,1169.0,4339.0,51535.0,,,,,1348.0,1348.0,1744.0,1744.0,1141.0,1141.0,4233.0,51429.0,3.2,8.7
2,2.0,2.0,11576.0,23152.0,,,,,1382.0,2764.0,1788.0,3576.0,1169.0,2338.0,4339.0,55874.0,,,,,1316.0,2664.0,1702.0,3446.0,1113.0,2253.0,4130.0,55559.0,3.2,11.9
3,3.0,3.0,11576.0,34728.0,,,,,1382.0,4146.0,1788.0,5364.0,1169.0,3508.0,4339.0,60213.0,,,,,1283.0,3947.0,1660.0,5107.0,1086.0,3339.0,4029.0,59589.0,3.2,15.1
4,4.0,4.0,11576.0,46304.0,,,,,1382.0,5529.0,1788.0,7152.0,1169.0,4677.0,4339.0,64553.0,,,,,1252.0,5200.0,1620.0,6726.0,1059.0,4398.0,3931.0,63520.0,3.2,18.3
5,5.0,5.0,11576.0,57880.0,,,,,1382.0,6911.0,1788.0,8940.0,1169.0,5846.0,4339.0,68892.0,,,,,1222.0,6421.0,1580.0,8307.0,1033.0,5432.0,3835.0,67355.0,3.2,21.5
6,6.0,6.0,11576.0,69456.0,,,,,1382.0,8293.0,1788.0,10728.0,1169.0,7015.0,4339.0,73231.0,,,,,1192.0,7613.0,1542.0,9849.0,1008.0,6440.0,3742.0,71097.0,3.2,24.7
7,7.0,7.0,11576.0,81032.0,,,,,1382.0,9675.0,1788.0,12516.0,1169.0,8184.0,4339.0,77571.0,,,,,1163.0,8776.0,1504.0,11353.0,984.0,7424.0,3651.0,74748.0,3.2,27.9
8,8.0,8.0,11576.0,92608.0,,,,,1382.0,11057.0,1788.0,14304.0,1169.0,9353.0,4339.0,81910.0,,,,,1134.0,9910.0,1467.0,12820.0,960.0,8383.0,3561.0,78309.0,3.2,31.1
9,9.0,9.0,11576.0,104184.0,,,,,1382.0,12439.0,1788.0,16092.0,1169.0,10523.0,4339.0,86249.0,,,,,1107.0,11017.0,1432.0,14252.0,936.0,9319.0,3475.0,81784.0,3.2,34.3
10,10.0,10.0,11576.0,115760.0,,,,,1382.0,13821.0,1788.0,17880.0,1169.0,11692.0,4339.0,90589.0,,,,,1080.0,12097.0,1397.0,15649.0,913.0,10233.0,3390.0,85174.0,3.2,37.5
11,11.0,11.0,11576.0,127336.0,,,,,1382.0,15204.0,1788.0,19668.0,1169.0,12861.0,4339.0,94928.0,,,,,1053.0,13150.0,1363.0,17011.0,891.0,11124.0,3307.0,88481.0,3.2,40.7
12,12.0,12.0,11576.0,138912.0,,,,,1382.0,16586.0,1788.0,21456.0,1169.0,14030.0,4339.0,99267.0,,,,,1028.0,14178.0,1329.0,18341.0,869.0,11993.0,3227.0,91707.0,3.2,43.9
13,13.0,13.0,11576.0,150488.0,,,,,1382.0,17968.0,1788.0,23244.0,1169.0,15199.0,4339.0,103607.0,,,,,1003.0,15180.0,1297.0,19638.0,848.0,12841.0,3148.0,94855.0,3.2,47.1
13.14,13.14,13.14,1620.6400000000067,152108.64,,,,,194.0,18161.0,250.0,23494.0,164.0,15363.0,608.0,104214.0,,,,,140.0,15320.0,181.0,19819.0,118.0,12960.0,439.0,95294.0,0.4,47.6
post-use,13.14,14.454000000000002,0.0,152108.64,0.0,47196.0,0,0,0.0,18161.0,0.0,23494.0,0.0,15363.0,0.0,104214.0,0.0,47196.0,0,0,0.0,15320.0,0.0,19819.0,0.0,12960.0,0.0,95294.0,0.0,47.6
