period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,47196.0,47196.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47196.0,47196.0,0.0,0.0,47196.0,47196.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47196.0,47196.0,0.0,0.0,5.5,5.5
1,1.0,1.0,13821.181558,13821.181558,,,,,1650.0,1650.0,1788.0,1788.0,1396.0,1396.0,4834.0,52030.0,4834.0,4834.0,,,,,1572.0,1572.0,1703.0,1703.0,1329.0,1329.0,4604.0,51799.0,4604.0,4604.0,3.8,9.3
2,2.0,2.0,13821.181558,27642.363116,,,,,1650.0,3300.0,1788.0,3576.0,1396.0,2792.0,4834.0,56864.0,4834.0,9668.0,,,,,1497.0,3068.0,1622.0,3325.0,1266.0,2596.0,4385.0,56184.0,4385.0,8989.0,3.8,13.1
3,3.0,3.0,13821.181558,41463.544674000004,,,,,1650.0,4951.0,1788.0,5364.0,1396.0,4188.0,4834.0,61698.0,4834.0,14502.0,,,,,1426.0,4494.0,1545.0,4869.0,1206.0,3801.0,4176.0,60360.0,4176.0,13165.0,3.8,16.9
4,4.0,4.0,13821.181558,55284.726232,,,,,1650.0,6601.0,1788.0,7152.0,1396.0,5584.0,4834.0,66532.0,4834.0,19337.0,,,,,1358.0,5852.0,1471.0,6340.0,1148.0,4950.0,3977.0,64337.0,3977.0,17142.0,3.8,20.8
5,5.0,5.0,13821.181558,69105.90779,,,,,1650.0,8251.0,1788.0,8940.0,1396.0,6980.0,4834.0,71366.0,4834.0,24171.0,,,,,1293.0,7145.0,1401.0,7741.0,1094.0,6044.0,3788.0,68125.0,3788.0,20929.0,3.8,24.6
6,6.0,6.0,13821.181558,82927.089348,,,,,1650.0,9901.0,1788.0,10728.0,1396.0,8376.0,4834.0,76200.0,4834.0,29005.0,,,,,1231.0,8376.0,1334.0,9075.0,1042.0,7085.0,3607.0,71732.0,3607.0,24537.0,3.8,28.4
7,7.0,7.0,13821.181558,96748.27090599999,,,,,1650.0,11552.0,1788.0,12516.0,1396.0,9772.0,4834.0,81035.0,4834.0,33839.0,,,,,1173.0,9549.0,1271.0,10346.0,992.0,8077.0,3436.0,75168.0,3436.0,27972.0,3.8,32.3
8,8.0,8.0,13821.181558,110569.45246399999,,,,,1650.0,13202.0,1788.0,14304.0,1396.0,11168.0,4834.0,85869.0,4834.0,38673.0,,,,,1117.0,10666.0,1210.0,11556.0,945.0,9022.0,3272.0,78440.0,3272.0,31244.0,3.8,36.1
9,9.0,9.0,13821.181558,124390.63402199998,,,,,1650.0,14852.0,1788.0,16092.0,1396.0,12563.0,4834.0,90703.0,4834.0,43507.0,,,,,1064.0,11729.0,1153.0,12709.0,900.0,9922.0,3116.0,81556.0,3116.0,34360.0,3.8,39.9
10,10.0,10.0,13821.181558,138211.81558,,,,,1650.0,16502.0,1788.0,17880.0,1396.0,13959.0,4834.0,95537.0,4834.0,48342.0,,,,,1013.0,12743.0,1098.0,13806.0,857.0,10779.0,2968.0,84524.0,2968.0,37328.0,3.8,43.7
10.7,10.7,10.7,9674.82709059999,147886.64267059998,,,,,1155.0,17657.0,1252.0,19132.0,977.0,14937.0,3384.0,98921.0,3384.0,51725.0,,,,,685.0,13428.0,743.0,14549.0,580.0,11359.0,2008.0,86531.0,2008.0,39336.0,2.7,46.4
post-use,10.7,11.77,0.0,147886.64267059998,0.0,47196.0,0,0,0.0,17657.0,0.0,19132.0,0.0,14937.0,0.0,98921.0,0.0,51725.0,0.0,47196.0,0,0,0.0,13428.0,0.0,14549.0,0.0,11359.0,0.0,86531.0,0.0,39336.0,0.0,46.4
