period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.428,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,5.5,5.5
1,1.0,1.0,11631.0,11631.0,,,,,1884.0,1884.0,1788.0,1788.0,1175.0,1175.0,4847.0,53027.0,,,,,1838.0,1838.0,1744.0,1744.0,1146.0,1146.0,4729.0,52909.0,4.1,9.5
2,2.0,2.0,11631.0,23262.0,,,,,1884.0,3768.0,1788.0,3576.0,1175.0,2349.0,4847.0,57874.0,,,,,1793.0,3632.0,1702.0,3446.0,1118.0,2264.0,4613.0,57522.0,4.1,13.6
3,3.0,3.0,11631.0,34893.0,,,,,1884.0,5653.0,1788.0,5364.0,1175.0,3524.0,4847.0,62721.0,,,,,1750.0,5381.0,1660.0,5107.0,1091.0,3355.0,4501.0,62023.0,4.1,17.6
4,4.0,4.0,11631.0,46524.0,,,,,1884.0,7537.0,1788.0,7152.0,1175.0,4699.0,4847.0,67568.0,,,,,1707.0,7088.0,1620.0,6726.0,1064.0,4419.0,4391.0,66414.0,4.1,21.7
5,5.0,5.0,11631.0,58155.0,,,,,1884.0,9421.0,1788.0,8940.0,1175.0,5874.0,4847.0,72414.0,,,,,1665.0,8754.0,1580.0,8307.0,1038.0,5458.0,4284.0,70698.0,4.1,25.7
6,6.0,6.0,11631.0,69786.0,,,,,1884.0,11305.0,1788.0,10728.0,1175.0,7048.0,4847.0,77261.0,,,,,1625.0,10378.0,1542.0,9849.0,1013.0,6471.0,4179.0,74877.0,4.1,29.8
7,7.0,7.0,11631.0,81417.0,,,,,1884.0,13189.0,1788.0,12516.0,1175.0,8223.0,4847.0,82108.0,,,,,1585.0,11963.0,1504.0,11353.0,988.0,7459.0,4078.0,78955.0,4.1,33.8
8,8.0,8.0,11631.0,93048.0,,,,,1884.0,15073.0,1788.0,14304.0,1175.0,9398.0,4847.0,86955.0,,,,,1546.0,13510.0,1467.0,12820.0,964.0,8423.0,3978.0,82933.0,4.1,37.9
9,9.0,9.0,11631.0,104679.0,,,,,1884.0,16958.0,1788.0,16092.0,1175.0,10573.0,4847.0,91802.0,,,,,1509.0,15018.0,1432.0,14252.0,941.0,9364.0,3881.0,86814.0,4.1,41.9
10,10.0,10.0,11631.0,116310.0,,,,,1884.0,18842.0,1788.0,17880.0,1175.0,11747.0,4847.0,96649.0,,,,,1472.0,16490.0,1397.0,15649.0,918.0,10281.0,3786.0,90600.0,4.1,46.0
11,11.0,11.0,11631.0,127941.0,,,,,1884.0,20726.0,1788.0,19668.0,1175.0,12922.0,4847.0,101496.0,,,,,1436.0,17926.0,1363.0,17011.0,895.0,11177.0,3694.0,94294.0,4.1,50.0
12,12.0,12.0,11631.0,139572.0,,,,,1884.0,22610.0,1788.0,21456.0,1175.0,14097.0,4847.0,106343.0,,,,,1401.0,19327.0,1329.0,18341.0,873.0,12050.0,3604.0,97898.0,4.1,54.1
13,13.0,13.0,11631.0,151203.0,,,,,1884.0,24494.0,1788.0,23244.0,1175.0,15272.0,4847.0,111190.0,,,,,1367.0,20694.0,1297.0,19638.0,852.0,12902.0,3516.0,101414.0,4.1,58.1
14,14.0,14.0,11631.0,162834.0,,,,,1884.0,26378.0,1788.0,25032.0,1175.0,16446.0,4847.0,116037.0,,,,,1333.0,22028.0,1265.0,20903.0,831.0,13734.0,3430.0,104845.0,4.1,62.2
14.28,14.28,14.28,3256.6799999999926,166090.68,,,,,528.0,26906.0,501.0,25533.0,329.0,16775.0,1357.0,117394.0,,,,,371.0,22398.0,352.0,21255.0,231.0,13965.0,954.0,105799.0,1.1,63.3
post-use,14.28,15.708,0.0,166090.68,0,48180,0,0,0.0,26906.0,0.0,25533.0,0.0,16775.0,0.0,117394.0,0,48180,0,0,0.0,22398.0,0.0,21255.0,0.0,13965.0,0.0,105799.0,0.0,63.3
