period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.428,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,5.5,5.5
1,1.0,1.0,11631.0,11631.0,,,,,1631.0,1631.0,1788.0,1788.0,1175.0,1175.0,4594.0,52774.0,,,,,1591.0,1591.0,1744.0,1744.0,1146.0,1146.0,4481.0,52661.0,4.1,9.5
2,2.0,2.0,11631.0,23262.0,,,,,1631.0,3262.0,1788.0,3576.0,1175.0,2349.0,4594.0,57367.0,,,,,1552.0,3143.0,1702.0,3446.0,1118.0,2264.0,4372.0,57034.0,4.1,13.6
3,3.0,3.0,11631.0,34893.0,,,,,1631.0,4892.0,1788.0,5364.0,1175.0,3524.0,4594.0,61961.0,,,,,1514.0,4658.0,1660.0,5107.0,1091.0,3355.0,4266.0,61299.0,4.1,17.6
4,4.0,4.0,11631.0,46524.0,,,,,1631.0,6523.0,1788.0,7152.0,1175.0,4699.0,4594.0,66554.0,,,,,1477.0,6135.0,1620.0,6726.0,1064.0,4419.0,4162.0,65461.0,4.1,21.7
5,5.0,5.0,11631.0,58155.0,,,,,1631.0,8154.0,1788.0,8940.0,1175.0,5874.0,4594.0,71148.0,,,,,1441.0,7576.0,1580.0,8307.0,1038.0,5458.0,4060.0,69521.0,4.1,25.7
6,6.0,6.0,11631.0,69786.0,,,,,1631.0,9785.0,1788.0,10728.0,1175.0,7048.0,4594.0,75741.0,,,,,1406.0,8983.0,1542.0,9849.0,1013.0,6471.0,3961.0,73482.0,4.1,29.8
7,7.0,7.0,11631.0,81417.0,,,,,1631.0,11416.0,1788.0,12516.0,1175.0,8223.0,4594.0,80335.0,,,,,1372.0,10355.0,1504.0,11353.0,988.0,7459.0,3864.0,77346.0,4.1,33.8
8,8.0,8.0,11631.0,93048.0,,,,,1631.0,13046.0,1788.0,14304.0,1175.0,9398.0,4594.0,84928.0,,,,,1338.0,11693.0,1467.0,12820.0,964.0,8423.0,3770.0,81116.0,4.1,37.9
9,9.0,9.0,11631.0,104679.0,,,,,1631.0,14677.0,1788.0,16092.0,1175.0,10573.0,4594.0,89522.0,,,,,1306.0,12999.0,1432.0,14252.0,941.0,9364.0,3678.0,84794.0,4.1,41.9
10,10.0,10.0,11631.0,116310.0,,,,,1631.0,16308.0,1788.0,17880.0,1175.0,11747.0,4594.0,94115.0,,,,,1274.0,14273.0,1397.0,15649.0,918.0,10281.0,3588.0,88383.0,4.1,46.0
11,11.0,11.0,11631.0,127941.0,,,,,1631.0,17939.0,1788.0,19668.0,1175.0,12922.0,4594.0,98709.0,,,,,1243.0,15516.0,1363.0,17011.0,895.0,11177.0,3501.0,91884.0,4.1,50.0
12,12.0,12.0,11631.0,139572.0,,,,,1631.0,19570.0,1788.0,21456.0,1175.0,14097.0,4594.0,103302.0,,,,,1213.0,16728.0,1329.0,18341.0,873.0,12050.0,3416.0,95299.0,4.1,54.1
13,13.0,13.0,11631.0,151203.0,,,,,1631.0,21200.0,1788.0,23244.0,1175.0,15272.0,4594.0,107896.0,,,,,1183.0,17911.0,1297.0,19638.0,852.0,12902.0,3332.0,98632.0,4.1,58.1
14,14.0,14.0,11631.0,162834.0,,,,,1631.0,22831.0,1788.0,25032.0,1175.0,16446.0,4594.0,112489.0,,,,,1154.0,19066.0,1265.0,20903.0,831.0,13734.0,3251.0,101883.0,4.1,62.2
14.28,14.28,14.28,3256.6799999999926,166090.68,,,,,457.0,23288.0,501.0,25533.0,329.0,16775.0,1286.0,113776.0,,,,,321.0,19387.0,352.0,21255.0,231.0,13965.0,904.0,102787.0,1.1,63.3
post-use,14.28,15.708,0.0,166090.68,0,48180,0,0,0.0,23288.0,0.0,25533.0,0.0,16775.0,0.0,113776.0,0,48180,0,0,0.0,19387.0,0.0,21255.0,0.0,13965.0,0.0,102787.0,0.0,63.3
