period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,0.0,0.0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,0.0,0.0,5.5,5.5
1,1.0,1.0,12622.201554,12622.201554,,,,,2022.0,2022.0,1788.0,1788.0,1275.0,1275.0,5085.0,53265.0,5085.0,5085.0,,,,,1926.0,1926.0,1703.0,1703.0,1214.0,1214.0,4843.0,53023.0,4843.0,4843.0,4.4,9.9
2,2.0,2.0,12622.201554,25244.403108,,,,,2022.0,4044.0,1788.0,3576.0,1275.0,2550.0,5085.0,58349.0,5085.0,10169.0,,,,,1834.0,3759.0,1622.0,3325.0,1156.0,2370.0,4612.0,57634.0,4612.0,9454.0,4.4,14.3
3,3.0,3.0,12622.201554,37866.604662,,,,,2022.0,6065.0,1788.0,5364.0,1275.0,3825.0,5085.0,63434.0,5085.0,15254.0,,,,,1747.0,5506.0,1545.0,4869.0,1101.0,3472.0,4392.0,62027.0,4392.0,13847.0,4.4,18.7
4,4.0,4.0,12622.201554,50488.806216,,,,,2022.0,8087.0,1788.0,7152.0,1275.0,5099.0,5085.0,68519.0,5085.0,20339.0,,,,,1663.0,7169.0,1471.0,6340.0,1049.0,4521.0,4183.0,66210.0,4183.0,18030.0,4.4,23.1
5,5.0,5.0,12622.201554,63111.00777,,,,,2022.0,10109.0,1788.0,8940.0,1275.0,6374.0,5085.0,73603.0,5085.0,25423.0,,,,,1584.0,8753.0,1401.0,7741.0,999.0,5519.0,3984.0,70194.0,3984.0,22014.0,4.4,27.4
6,6.0,6.0,12622.201554,75733.209324,,,,,2022.0,12131.0,1788.0,10728.0,1275.0,7649.0,5085.0,78688.0,5085.0,30508.0,,,,,1509.0,10262.0,1334.0,9075.0,951.0,6471.0,3794.0,73988.0,3794.0,25808.0,4.4,31.8
7,7.0,7.0,12622.201554,88355.410878,,,,,2022.0,14153.0,1788.0,12516.0,1275.0,8924.0,5085.0,83773.0,5085.0,35593.0,,,,,1437.0,11699.0,1271.0,10346.0,906.0,7377.0,3614.0,77602.0,3614.0,29422.0,4.4,36.2
8,8.0,8.0,12622.201554,100977.612432,,,,,2022.0,16175.0,1788.0,14304.0,1275.0,10199.0,5085.0,88857.0,5085.0,40677.0,,,,,1368.0,13067.0,1210.0,11556.0,863.0,8240.0,3442.0,81043.0,3442.0,32863.0,4.4,40.6
8.9,8.9,8.9,11359.981398600004,112337.5938306,,,,,1820.0,17994.0,1609.0,15913.0,1147.0,11346.0,4576.0,93434.0,4576.0,45254.0,,,,,1179.0,14246.0,1042.0,12599.0,743.0,8983.0,2964.0,84008.0,2964.0,35828.0,4.0,44.6
post-use,8.9,9.790000000000001,0.0,112337.5938306,0,48180,0,0,0.0,17994.0,0.0,15913.0,0.0,11346.0,0.0,93434.0,0.0,45254.0,0,48180,0,0,0.0,14246.0,0.0,12599.0,0.0,8983.0,0.0,84008.0,0.0,35828.0,0.0,44.6
