period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,48180,48180,,,0.0,0.0,0,0,0.0,0.0,48180.0,48180.0,0.0,0.0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,0.0,0.0,5.5,5.5
1,1,1.0,13363.34444,13363.34444,,,,,2141.0,2141.0,1788,1788,1350.0,1350.0,5278.0,53458.0,5278.0,5278.0,,,,,2088.0,2088.0,1744.0,1744.0,1317.0,1317.0,5150.0,53330.0,5150.0,5150.0,4.7,10.1
2,2,2.0,13363.34444,26726.68888,,,,,2141.0,4281.0,1788,3576,1350.0,2699.0,5278.0,58736.0,5278.0,10556.0,,,,,2037.0,4126.0,1702.0,3446.0,1285.0,2601.0,5024.0,58353.0,5024.0,10173.0,4.7,14.8
3,3,3.0,13363.34444,40090.03332,,,,,2141.0,6422.0,1788,5364,1350.0,4049.0,5278.0,64015.0,5278.0,15835.0,,,,,1988.0,6113.0,1660.0,5107.0,1253.0,3855.0,4901.0,63255.0,4901.0,15075.0,4.7,19.4
4,4,4.0,13363.34444,53453.37776,,,,,2141.0,8562.0,1788,7152,1350.0,5399.0,5278.0,69293.0,5278.0,21113.0,,,,,1939.0,8053.0,1620.0,6726.0,1223.0,5078.0,4782.0,68037.0,4782.0,19857.0,4.7,24.1
5,5,5.0,13363.34444,66816.7222,,,,,2141.0,10703.0,1788,8940,1350.0,6748.0,5278.0,74571.0,5278.0,26391.0,,,,,1892.0,9945.0,1580.0,8307.0,1193.0,6270.0,4665.0,72702.0,4665.0,24522.0,4.7,28.7
6,6,6.0,13363.34444,80180.06664,,,,,2141.0,12843.0,1788,10728,1350.0,8098.0,5278.0,79849.0,5278.0,31669.0,,,,,1846.0,11790.0,1542.0,9849.0,1164.0,7434.0,4551.0,77253.0,4551.0,29073.0,4.7,33.4
7,7,7.0,13363.34444,93543.41108,,,,,2141.0,14984.0,1788,12516,1350.0,9448.0,5278.0,85128.0,5278.0,36948.0,,,,,1801.0,13591.0,1504.0,11353.0,1135.0,8570.0,4440.0,81694.0,4440.0,33514.0,4.7,38.0
8,8,8.0,13363.34444,106906.75552,,,,,2141.0,17124.0,1788,14304,1350.0,10798.0,5278.0,90406.0,5278.0,42226.0,,,,,1757.0,15348.0,1467.0,12820.0,1108.0,9678.0,4332.0,86026.0,4332.0,37846.0,4.7,42.7
9,9,9.0,13363.34444,120270.09996,,,,,2141.0,19265.0,1788,16092,1350.0,12147.0,5278.0,95684.0,5278.0,47504.0,,,,,1714.0,17062.0,1432.0,14252.0,1081.0,10758.0,4226.0,90252.0,4226.0,42072.0,4.7,47.4
10,10,10.0,13363.34444,133633.4444,,,,,2141.0,21405.0,1788,17880,1350.0,13497.0,5278.0,100962.0,5278.0,52782.0,,,,,1672.0,18734.0,1397.0,15649.0,1054.0,11813.0,4123.0,94375.0,4123.0,46195.0,4.7,52.0
11,11,11.0,13363.34444,146996.78884,,,,,2141.0,23546.0,1788,19668,1350.0,14847.0,5278.0,106241.0,5278.0,58061.0,,,,,1631.0,20366.0,1363.0,17011.0,1029.0,12841.0,4023.0,98398.0,4023.0,50218.0,4.7,56.7
12,12,12.0,13363.34444,160360.13328,,,,,2141.0,25686.0,1788,21456,1350.0,16196.0,5278.0,111519.0,5278.0,63339.0,,,,,1592.0,21957.0,1329.0,18341.0,1004.0,13845.0,3925.0,102323.0,3925.0,54143.0,4.7,61.3
13,13,13.0,13363.34444,173723.47772000002,,,,,2141.0,27827.0,1788,23244,1350.0,17546.0,5278.0,116797.0,5278.0,68617.0,,,,,1553.0,23510.0,1297.0,19638.0,979.0,14824.0,3829.0,106152.0,3829.0,57972.0,4.7,66.0
post-use,13,14.3,0.0,173723.47772000002,0,48180,0,0,0.0,27827.0,0,23244,0.0,17546.0,0.0,116797.0,0.0,68617.0,0,48180,0,0,0.0,23510.0,0.0,19638.0,0.0,14824.0,0.0,106152.0,0.0,57972.0,0.0,66.0
