period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,48180,48180,,,0.0,0.0,0,0,0.0,0.0,48180.0,48180.0,0.0,0.0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,0.0,0.0,5.5,5.5
1,1,1.0,13363.34444,13363.34444,,,,,1856.0,1856.0,1788,1788,1350.0,1350.0,4994.0,53174.0,4994.0,4994.0,,,,,1768.0,1768.0,1703.0,1703.0,1285.0,1285.0,4756.0,52936.0,4756.0,4756.0,4.7,10.1
2,2,2.0,13363.34444,26726.68888,,,,,1856.0,3713.0,1788,3576,1350.0,2699.0,4994.0,58168.0,4994.0,9988.0,,,,,1684.0,3452.0,1622.0,3325.0,1224.0,2510.0,4530.0,57466.0,4530.0,9286.0,4.7,14.8
3,3,3.0,13363.34444,40090.03332,,,,,1856.0,5569.0,1788,5364,1350.0,4049.0,4994.0,63162.0,4994.0,14982.0,,,,,1604.0,5055.0,1545.0,4869.0,1166.0,3676.0,4314.0,61780.0,4314.0,13600.0,4.7,19.4
4,4,4.0,13363.34444,53453.37776,,,,,1856.0,7425.0,1788,7152,1350.0,5399.0,4994.0,68156.0,4994.0,19976.0,,,,,1527.0,6582.0,1471.0,6340.0,1110.0,4786.0,4109.0,65888.0,4109.0,17708.0,4.7,24.1
5,5,5.0,13363.34444,66816.7222,,,,,1856.0,9281.0,1788,8940,1350.0,6748.0,4994.0,73150.0,4994.0,24970.0,,,,,1454.0,8037.0,1401.0,7741.0,1058.0,5843.0,3913.0,69801.0,3913.0,21621.0,4.7,28.7
6,6,6.0,13363.34444,80180.06664,,,,,1856.0,11138.0,1788,10728,1350.0,8098.0,4994.0,78144.0,4994.0,29964.0,,,,,1385.0,9422.0,1334.0,9075.0,1007.0,6851.0,3727.0,73528.0,3727.0,25348.0,4.7,33.4
7,7,7.0,13363.34444,93543.41108,,,,,1856.0,12994.0,1788,12516,1350.0,9448.0,4994.0,83138.0,4994.0,34958.0,,,,,1319.0,10741.0,1271.0,10346.0,959.0,7810.0,3549.0,77077.0,3549.0,28897.0,4.7,38.0
8,8,8.0,13363.34444,106906.75552,,,,,1856.0,14850.0,1788,14304,1350.0,10798.0,4994.0,88132.0,4994.0,39952.0,,,,,1256.0,11998.0,1210.0,11556.0,914.0,8723.0,3380.0,80457.0,3380.0,32277.0,4.7,42.7
9,9,9.0,13363.34444,120270.09996,,,,,1856.0,16707.0,1788,16092,1350.0,12147.0,4994.0,93126.0,4994.0,44946.0,,,,,1197.0,13194.0,1153.0,12709.0,870.0,9593.0,3219.0,83676.0,3219.0,35496.0,4.7,47.4
10,10,10.0,13363.34444,133633.4444,,,,,1856.0,18563.0,1788,17880,1350.0,13497.0,4994.0,98120.0,4994.0,49940.0,,,,,1140.0,14334.0,1098.0,13806.0,829.0,10422.0,3066.0,86742.0,3066.0,38562.0,4.7,52.0
11,11,11.0,13363.34444,146996.78884,,,,,1856.0,20419.0,1788,19668,1350.0,14847.0,4994.0,103114.0,4994.0,54934.0,,,,,1085.0,15419.0,1045.0,14852.0,789.0,11211.0,2920.0,89662.0,2920.0,41482.0,4.7,56.7
12,12,12.0,13363.34444,160360.13328,,,,,1856.0,22276.0,1788,21456,1350.0,16196.0,4994.0,108108.0,4994.0,59928.0,,,,,1034.0,16453.0,996.0,15847.0,752.0,11963.0,2781.0,92443.0,2781.0,44263.0,4.7,61.3
13,13,13.0,13363.34444,173723.47772000002,,,,,1856.0,24132.0,1788,23244,1350.0,17546.0,4994.0,113102.0,4994.0,64922.0,,,,,984.0,17437.0,948.0,16796.0,716.0,12678.0,2648.0,95091.0,2648.0,46911.0,4.7,66.0
post-use,13,14.3,0.0,173723.47772000002,0,48180,0,0,0.0,24132.0,0,23244,0.0,17546.0,0.0,113102.0,0.0,64922.0,0,48180,0,0,0.0,17437.0,0.0,16796.0,0.0,12678.0,0.0,95091.0,0.0,46911.0,0.0,66.0
