period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,0.0,0.0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,0.0,0.0,5.5,5.5
1,1.0,1.0,11533.46302,11533.46302,,,,,1602.0,1602.0,1788.0,1788.0,1165.0,1165.0,4555.0,52735.0,4555.0,4555.0,,,,,1526.0,1526.0,1703.0,1703.0,1109.0,1109.0,4338.0,52518.0,4338.0,4338.0,4.0,9.5
2,2.0,2.0,11533.46302,23066.92604,,,,,1602.0,3204.0,1788.0,3576.0,1165.0,2330.0,4555.0,57290.0,4555.0,9110.0,,,,,1453.0,2979.0,1622.0,3325.0,1057.0,2166.0,4132.0,56650.0,4132.0,8470.0,4.0,13.5
3,3.0,3.0,11533.46302,34600.38906,,,,,1602.0,4806.0,1788.0,5364.0,1165.0,3495.0,4555.0,61845.0,4555.0,13665.0,,,,,1384.0,4363.0,1545.0,4869.0,1006.0,3172.0,3935.0,60584.0,3935.0,12404.0,4.0,17.5
4,4.0,4.0,11533.46302,46133.85208,,,,,1602.0,6408.0,1788.0,7152.0,1165.0,4660.0,4555.0,66400.0,4555.0,18220.0,,,,,1318.0,5681.0,1471.0,6340.0,958.0,4131.0,3747.0,64332.0,3747.0,16152.0,4.0,21.5
5,5.0,5.0,11533.46302,57667.31509999999,,,,,1602.0,8011.0,1788.0,8940.0,1165.0,5824.0,4555.0,70955.0,4555.0,22775.0,,,,,1255.0,6936.0,1401.0,7741.0,913.0,5043.0,3569.0,67901.0,3569.0,19721.0,4.0,25.6
6,6.0,6.0,11533.46302,69200.77811999999,,,,,1602.0,9613.0,1788.0,10728.0,1165.0,6989.0,4555.0,75510.0,4555.0,27330.0,,,,,1196.0,8132.0,1334.0,9075.0,869.0,5913.0,3399.0,71300.0,3399.0,23120.0,4.0,29.6
7,7.0,7.0,11533.46302,80734.24113999998,,,,,1602.0,11215.0,1788.0,12516.0,1165.0,8154.0,4555.0,80065.0,4555.0,31885.0,,,,,1139.0,9270.0,1271.0,10346.0,828.0,6740.0,3237.0,74537.0,3237.0,26357.0,4.0,33.6
8,8.0,8.0,11533.46302,92267.70415999998,,,,,1602.0,12817.0,1788.0,14304.0,1165.0,9319.0,4555.0,84620.0,4555.0,36440.0,,,,,1084.0,10355.0,1210.0,11556.0,788.0,7529.0,3083.0,77620.0,3083.0,29440.0,4.0,37.6
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,1442.0,14259.0,1609.0,15913.0,1048.0,10367.0,4099.0,88719.0,4099.0,40539.0,,,,,934.0,11289.0,1042.0,12599.0,679.0,8208.0,2655.0,80275.0,2655.0,32095.0,3.6,41.2
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0,48180,0,0,0.0,14259.0,0.0,15913.0,0.0,10367.0,0.0,88719.0,0.0,40539.0,0,48180,0,0,0.0,11289.0,0.0,12599.0,0.0,8208.0,0.0,80275.0,0.0,32095.0,0.0,41.2
