period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,0.0,0.0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,0.0,0.0,5.5,5.5
1,1.0,1.0,12622.201554,12622.201554,,,,,2321.0,2321.0,1788.0,1788.0,1275.0,1275.0,5384.0,53564.0,5384.0,5384.0,,,,,2210.0,2210.0,1703.0,1703.0,1214.0,1214.0,5127.0,53307.0,5127.0,5127.0,4.4,9.9
2,2.0,2.0,12622.201554,25244.403108,,,,,2321.0,4641.0,1788.0,3576.0,1275.0,2550.0,5384.0,58947.0,5384.0,10767.0,,,,,2105.0,4315.0,1622.0,3325.0,1156.0,2370.0,4883.0,58190.0,4883.0,10010.0,4.4,14.3
3,3.0,3.0,12622.201554,37866.604662,,,,,2321.0,6962.0,1788.0,5364.0,1275.0,3825.0,5384.0,64331.0,5384.0,16151.0,,,,,2005.0,6320.0,1545.0,4869.0,1101.0,3472.0,4650.0,62841.0,4650.0,14661.0,4.4,18.7
4,4.0,4.0,12622.201554,50488.806216,,,,,2321.0,9283.0,1788.0,7152.0,1275.0,5099.0,5384.0,69714.0,5384.0,21534.0,,,,,1909.0,8229.0,1471.0,6340.0,1049.0,4521.0,4429.0,67270.0,4429.0,19090.0,4.4,23.1
5,5.0,5.0,12622.201554,63111.00777,,,,,2321.0,11603.0,1788.0,8940.0,1275.0,6374.0,5384.0,75098.0,5384.0,26918.0,,,,,1818.0,10047.0,1401.0,7741.0,999.0,5519.0,4218.0,71488.0,4218.0,23308.0,4.4,27.4
6,6.0,6.0,12622.201554,75733.209324,,,,,2321.0,13924.0,1788.0,10728.0,1275.0,7649.0,5384.0,80481.0,5384.0,32301.0,,,,,1732.0,11779.0,1334.0,9075.0,951.0,6471.0,4017.0,75505.0,4017.0,27325.0,4.4,31.8
7,7.0,7.0,12622.201554,88355.410878,,,,,2321.0,16245.0,1788.0,12516.0,1275.0,8924.0,5384.0,85865.0,5384.0,37685.0,,,,,1649.0,13428.0,1271.0,10346.0,906.0,7377.0,3826.0,79331.0,3826.0,31151.0,4.4,36.2
8,8.0,8.0,12622.201554,100977.612432,,,,,2321.0,18566.0,1788.0,14304.0,1275.0,10199.0,5384.0,91248.0,5384.0,43068.0,,,,,1571.0,14999.0,1210.0,11556.0,863.0,8240.0,3644.0,82975.0,3644.0,34795.0,4.4,40.6
8.9,8.9,8.9,11359.981398600004,112337.5938306,,,,,2089.0,20654.0,1609.0,15913.0,1147.0,11346.0,4845.0,96093.0,4845.0,47913.0,,,,,1353.0,16352.0,1042.0,12599.0,743.0,8983.0,3139.0,86113.0,3139.0,37933.0,4.0,44.6
post-use,8.9,9.790000000000001,0.0,112337.5938306,0,48180,0,0,0.0,20654.0,0.0,15913.0,0.0,11346.0,0.0,96093.0,0.0,47913.0,0,48180,0,0,0.0,16352.0,0.0,12599.0,0.0,8983.0,0.0,86113.0,0.0,37933.0,0.0,44.6
