period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,0.0,0.0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,0.0,0.0,5.5,5.5
1,1.0,1.0,11533.46302,11533.46302,,,,,1704.0,1704.0,1788.0,1788.0,1165.0,1165.0,4656.0,52836.0,4656.0,4656.0,,,,,1622.0,1622.0,1703.0,1703.0,1109.0,1109.0,4435.0,52615.0,4435.0,4435.0,4.0,9.5
2,2.0,2.0,11533.46302,23066.92604,,,,,1704.0,3407.0,1788.0,3576.0,1165.0,2330.0,4656.0,57493.0,4656.0,9313.0,,,,,1545.0,3168.0,1622.0,3325.0,1057.0,2166.0,4224.0,56838.0,4224.0,8658.0,4.0,13.5
3,3.0,3.0,11533.46302,34600.38906,,,,,1704.0,5111.0,1788.0,5364.0,1165.0,3495.0,4656.0,62149.0,4656.0,13969.0,,,,,1472.0,4639.0,1545.0,4869.0,1006.0,3172.0,4022.0,60861.0,4022.0,12681.0,4.0,17.5
4,4.0,4.0,11533.46302,46133.85208,,,,,1704.0,6814.0,1788.0,7152.0,1165.0,4660.0,4656.0,66806.0,4656.0,18626.0,,,,,1402.0,6041.0,1471.0,6340.0,958.0,4131.0,3831.0,64692.0,3831.0,16512.0,4.0,21.5
5,5.0,5.0,11533.46302,57667.31509999999,,,,,1704.0,8518.0,1788.0,8940.0,1165.0,5824.0,4656.0,71462.0,4656.0,23282.0,,,,,1335.0,7376.0,1401.0,7741.0,913.0,5043.0,3648.0,68340.0,3648.0,20160.0,4.0,25.6
6,6.0,6.0,11533.46302,69200.77811999999,,,,,1704.0,10222.0,1788.0,10728.0,1165.0,6989.0,4656.0,76119.0,4656.0,27939.0,,,,,1271.0,8647.0,1334.0,9075.0,869.0,5913.0,3475.0,71815.0,3475.0,23635.0,4.0,29.6
7,7.0,7.0,11533.46302,80734.24113999998,,,,,1704.0,11925.0,1788.0,12516.0,1165.0,8154.0,4656.0,80775.0,4656.0,32595.0,,,,,1211.0,9858.0,1271.0,10346.0,828.0,6740.0,3309.0,75124.0,3309.0,26944.0,4.0,33.6
8,8.0,8.0,11533.46302,92267.70415999998,,,,,1704.0,13629.0,1788.0,14304.0,1165.0,9319.0,4656.0,85432.0,4656.0,37252.0,,,,,1153.0,11011.0,1210.0,11556.0,788.0,7529.0,3152.0,78276.0,3152.0,30096.0,4.0,37.6
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,1533.0,15162.0,1609.0,15913.0,1048.0,10367.0,4191.0,89623.0,4191.0,41443.0,,,,,993.0,12004.0,1042.0,12599.0,679.0,8208.0,2715.0,80991.0,2715.0,32811.0,3.6,41.2
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0,48180,0,0,0.0,15162.0,0.0,15913.0,0.0,10367.0,0.0,89623.0,0.0,41443.0,0,48180,0,0,0.0,12004.0,0.0,12599.0,0.0,8208.0,0.0,80991.0,0.0,32811.0,0.0,41.2
