period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.9900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,0.0,0.0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,0.0,0.0,9.8,9.8
1,1.0,1.0,12954.19509,12954.19509,,,-7500,-7500,1208.0,1208.0,1884.0,1884.0,790.0,790.0,-3618.0,65512.0,-3618.0,-3618.0,,,-7143.0,-7143.0,1150.0,1150.0,1794.0,1794.0,753.0,753.0,-3446.0,65684.0,-3446.0,-3446.0,1.4,11.2
2,2.0,2.0,12954.19509,25908.39018,,,,,1208.0,2415.0,1884.0,3768.0,790.0,1580.0,3882.0,69393.0,3882.0,263.0,,,,,1095.0,2245.0,1709.0,3503.0,717.0,1469.0,3521.0,69205.0,3521.0,75.0,1.4,12.6
3,3.0,3.0,12954.19509,38862.585269999996,,,,,1208.0,3623.0,1884.0,5652.0,790.0,2371.0,3882.0,73275.0,3882.0,4145.0,,,,,1043.0,3288.0,1627.0,5131.0,683.0,2152.0,3353.0,72558.0,3353.0,3428.0,1.4,13.9
4,4.0,4.0,12954.19509,51816.78036,,,,,1208.0,4830.0,1884.0,7536.0,790.0,3161.0,3882.0,77157.0,3882.0,8027.0,,,,,993.0,4282.0,1550.0,6681.0,650.0,2802.0,3193.0,75752.0,3193.0,6622.0,1.4,15.3
5,5.0,5.0,12954.19509,64770.97545,,,,,1208.0,6038.0,1884.0,9420.0,790.0,3951.0,3882.0,81039.0,3882.0,11909.0,,,,,946.0,5228.0,1476.0,8157.0,619.0,3421.0,3041.0,78793.0,3041.0,9663.0,1.4,16.7
6,6.0,6.0,12954.19509,77725.17053999999,,,,,1208.0,7245.0,1884.0,11304.0,790.0,4741.0,3882.0,84920.0,3882.0,15790.0,,,,,901.0,6129.0,1406.0,9563.0,590.0,4011.0,2897.0,81690.0,2897.0,12560.0,1.4,18.1
7,7.0,7.0,12954.19509,90679.36562999999,,,,,1208.0,8453.0,1884.0,13188.0,790.0,5531.0,3882.0,88802.0,3882.0,19672.0,,,,,858.0,6987.0,1339.0,10902.0,562.0,4572.0,2759.0,84448.0,2759.0,15318.0,1.4,19.4
8,8.0,8.0,12954.19509,103633.56071999998,,,,,1208.0,9660.0,1884.0,15072.0,790.0,6322.0,3882.0,92684.0,3882.0,23554.0,,,,,817.0,7804.0,1275.0,12177.0,535.0,5107.0,2627.0,87076.0,2627.0,17946.0,1.4,20.8
9,9.0,9.0,12954.19509,116587.75580999997,,,,,1208.0,10868.0,1884.0,16956.0,790.0,7112.0,3882.0,96565.0,3882.0,27435.0,,,,,778.0,8583.0,1214.0,13391.0,509.0,5617.0,2502.0,89578.0,2502.0,20448.0,1.4,22.2
9.9,9.9,9.9,11658.775581000004,128246.53139099998,,,,,1087.0,11954.0,1696.0,18652.0,711.0,7823.0,3494.0,100059.0,3494.0,30929.0,,,,,670.0,9253.0,1046.0,14437.0,439.0,6055.0,2155.0,91733.0,2155.0,22603.0,1.2,23.4
post-use,9.9,10.89,0.0,128246.53139099998,0,69130,0,-7500,0.0,11954.0,0.0,18652.0,0.0,7823.0,0.0,100059.0,0.0,30929.0,0,69130,0.0,-7143.0,0.0,9253.0,0.0,14437.0,0.0,6055.0,0.0,91733.0,0.0,22603.0,0.0,23.4
