period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.54,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,9.8,9.8
1,1.0,1.0,11687.0,11687.0,,,-7500,-7500,693.0,693.0,1884.0,1884.0,713.0,713.0,-4210.0,64920.0,,,-7317.0,-7317.0,676.0,676.0,1838.0,1838.0,696.0,696.0,-4108.0,65022.0,2.1,11.9
2,2.0,2.0,11687.0,23374.0,,,,,693.0,1386.0,1884.0,3768.0,713.0,1426.0,3290.0,68209.0,,,,,659.0,1335.0,1793.0,3631.0,679.0,1374.0,3131.0,68154.0,2.1,14.1
3,3.0,3.0,11687.0,35061.0,,,,,693.0,2078.0,1884.0,5652.0,713.0,2139.0,3290.0,71499.0,,,,,643.0,1979.0,1749.0,5381.0,662.0,2036.0,3055.0,71208.0,2.1,16.2
4,4.0,4.0,11687.0,46748.0,,,,,693.0,2771.0,1884.0,7536.0,713.0,2852.0,3290.0,74789.0,,,,,628.0,2606.0,1707.0,7088.0,646.0,2682.0,2980.0,74189.0,2.1,18.3
5,5.0,5.0,11687.0,58435.0,,,,,693.0,3464.0,1884.0,9420.0,713.0,3565.0,3290.0,78078.0,,,,,612.0,3218.0,1665.0,8753.0,630.0,3312.0,2908.0,77096.0,2.1,20.4
6,6.0,6.0,11687.0,70122.0,,,,,693.0,4157.0,1884.0,11304.0,713.0,4277.0,3290.0,81368.0,,,,,597.0,3816.0,1625.0,10377.0,615.0,3927.0,2837.0,79933.0,2.1,22.5
7,7.0,7.0,11687.0,81809.0,,,,,693.0,4849.0,1884.0,13188.0,713.0,4990.0,3290.0,84658.0,,,,,583.0,4399.0,1585.0,11962.0,600.0,4527.0,2767.0,82700.0,2.1,24.7
8,8.0,8.0,11687.0,93496.0,,,,,693.0,5542.0,1884.0,15072.0,713.0,5703.0,3290.0,87947.0,,,,,569.0,4967.0,1546.0,13509.0,585.0,5112.0,2700.0,85400.0,2.1,26.8
9,9.0,9.0,11687.0,105183.0,,,,,693.0,6235.0,1884.0,16956.0,713.0,6416.0,3290.0,91237.0,,,,,555.0,5522.0,1509.0,15017.0,571.0,5682.0,2634.0,88034.0,2.1,28.9
10,10.0,10.0,11687.0,116870.0,,,,,693.0,6928.0,1884.0,18840.0,713.0,7129.0,3290.0,94527.0,,,,,541.0,6063.0,1472.0,16489.0,557.0,6239.0,2570.0,90604.0,2.1,31.0
11,11.0,11.0,11687.0,128557.0,,,,,693.0,7620.0,1884.0,20724.0,713.0,7842.0,3290.0,97816.0,,,,,528.0,6591.0,1436.0,17925.0,543.0,6783.0,2507.0,93112.0,2.1,33.1
12,12.0,12.0,11687.0,140244.0,,,,,693.0,8313.0,1884.0,22608.0,713.0,8555.0,3290.0,101106.0,,,,,515.0,7106.0,1401.0,19326.0,530.0,7313.0,2446.0,95558.0,2.1,35.3
13,13.0,13.0,11687.0,151931.0,,,,,693.0,9006.0,1884.0,24492.0,713.0,9268.0,3290.0,104396.0,,,,,503.0,7609.0,1367.0,20692.0,517.0,7830.0,2386.0,97944.0,2.1,37.4
14,14.0,14.0,11687.0,163618.0,,,,,693.0,9699.0,1884.0,26376.0,713.0,9981.0,3290.0,107685.0,,,,,490.0,8099.0,1333.0,22026.0,505.0,8335.0,2328.0,100272.0,2.1,39.5
15,15.0,15.0,11687.0,175305.0,,,,,693.0,10392.0,1884.0,28260.0,713.0,10694.0,3290.0,110975.0,,,,,478.0,8577.0,1301.0,23327.0,492.0,8827.0,2271.0,102544.0,2.1,41.6
15.4,15.4,15.4,4674.800000000004,179979.80000000002,,,,,277.0,10669.0,754.0,29014.0,285.0,10979.0,1316.0,112291.0,,,,,189.0,8767.0,515.0,23842.0,195.0,9022.0,900.0,103443.0,0.8,42.5
post-use,15.4,16.94,0.0,179979.80000000002,0,69130,0,-7500,0.0,10669.0,0.0,29014.0,0.0,10979.0,0.0,112291.0,0,69130,0.0,-7317.0,0.0,8767.0,0.0,23842.0,0.0,9022.0,0.0,103443.0,0.0,42.5
