period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.54,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,9.8,9.8
1,1.0,1.0,11687.0,11687.0,,,-7500,-7500,603.0,603.0,1884.0,1884.0,713.0,713.0,-4300.0,64830.0,,,-7317.0,-7317.0,588.0,588.0,1838.0,1838.0,696.0,696.0,-4195.0,64935.0,2.3,12.1
2,2.0,2.0,11687.0,23374.0,,,,,603.0,1206.0,1884.0,3768.0,713.0,1426.0,3200.0,68030.0,,,,,574.0,1162.0,1793.0,3631.0,679.0,1374.0,3046.0,67980.0,2.3,14.5
3,3.0,3.0,11687.0,35061.0,,,,,603.0,1809.0,1884.0,5652.0,713.0,2139.0,3200.0,71230.0,,,,,560.0,1722.0,1749.0,5381.0,662.0,2036.0,2971.0,70952.0,2.3,16.8
4,4.0,4.0,11687.0,46748.0,,,,,603.0,2412.0,1884.0,7536.0,713.0,2852.0,3200.0,74430.0,,,,,546.0,2268.0,1707.0,7088.0,646.0,2682.0,2899.0,73851.0,2.3,19.1
5,5.0,5.0,11687.0,58435.0,,,,,603.0,3015.0,1884.0,9420.0,713.0,3565.0,3200.0,77629.0,,,,,533.0,2801.0,1665.0,8753.0,630.0,3312.0,2828.0,76679.0,2.3,21.4
6,6.0,6.0,11687.0,70122.0,,,,,603.0,3618.0,1884.0,11304.0,713.0,4277.0,3200.0,80829.0,,,,,520.0,3321.0,1625.0,10377.0,615.0,3927.0,2759.0,79438.0,2.3,23.7
7,7.0,7.0,11687.0,81809.0,,,,,603.0,4221.0,1884.0,13188.0,713.0,4990.0,3200.0,84029.0,,,,,507.0,3829.0,1585.0,11962.0,600.0,4527.0,2692.0,82130.0,2.3,26.0
8,8.0,8.0,11687.0,93496.0,,,,,603.0,4824.0,1884.0,15072.0,713.0,5703.0,3200.0,87229.0,,,,,495.0,4323.0,1546.0,13509.0,585.0,5112.0,2626.0,84757.0,2.3,28.4
9,9.0,9.0,11687.0,105183.0,,,,,603.0,5427.0,1884.0,16956.0,713.0,6416.0,3200.0,90429.0,,,,,483.0,4806.0,1509.0,15017.0,571.0,5682.0,2562.0,87319.0,2.3,30.7
10,10.0,10.0,11687.0,116870.0,,,,,603.0,6030.0,1884.0,18840.0,713.0,7129.0,3200.0,93629.0,,,,,471.0,5277.0,1472.0,16489.0,557.0,6239.0,2500.0,89819.0,2.3,33.0
11,11.0,11.0,11687.0,128557.0,,,,,603.0,6633.0,1884.0,20724.0,713.0,7842.0,3200.0,96829.0,,,,,460.0,5737.0,1436.0,17925.0,543.0,6783.0,2439.0,92257.0,2.3,35.3
12,12.0,12.0,11687.0,140244.0,,,,,603.0,7236.0,1884.0,22608.0,713.0,8555.0,3200.0,100029.0,,,,,448.0,6185.0,1401.0,19326.0,530.0,7313.0,2379.0,94637.0,2.3,37.6
13,13.0,13.0,11687.0,151931.0,,,,,603.0,7839.0,1884.0,24492.0,713.0,9268.0,3200.0,103229.0,,,,,437.0,6623.0,1367.0,20692.0,517.0,7830.0,2321.0,96958.0,2.3,39.9
14,14.0,14.0,11687.0,163618.0,,,,,603.0,8442.0,1884.0,26376.0,713.0,9981.0,3200.0,106428.0,,,,,427.0,7049.0,1333.0,22026.0,505.0,8335.0,2265.0,99223.0,2.3,42.2
15,15.0,15.0,11687.0,175305.0,,,,,603.0,9045.0,1884.0,28260.0,713.0,10694.0,3200.0,109628.0,,,,,416.0,7466.0,1301.0,23327.0,492.0,8827.0,2209.0,101432.0,2.3,44.6
15.4,15.4,15.4,4674.800000000004,179979.80000000002,,,,,241.0,9286.0,754.0,29014.0,285.0,10979.0,1280.0,110908.0,,,,,165.0,7631.0,515.0,23842.0,195.0,9022.0,875.0,102307.0,0.9,45.5
post-use,15.4,16.94,0.0,179979.80000000002,0,69130,0,-7500,0.0,9286.0,0.0,29014.0,0.0,10979.0,0.0,110908.0,0,69130,0.0,-7317.0,0.0,7631.0,0.0,23842.0,0.0,9022.0,0.0,102307.0,0.0,45.5
