period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,0.0,0.0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,0.0,0.0,9.8,9.8
1,1.0,1.0,13821.181558,13821.181558,,,-7500,-7500,820.0,820.0,1884.0,1884.0,843.0,843.0,-3953.0,65177.0,-3953.0,-3953.0,,,-7143.0,-7143.0,781.0,781.0,1794.0,1794.0,803.0,803.0,-3764.0,65366.0,-3764.0,-3764.0,2.6,12.4
2,2.0,2.0,13821.181558,27642.363116,,,,,820.0,1641.0,1884.0,3768.0,843.0,1686.0,3547.0,68725.0,3547.0,-405.0,,,,,744.0,1525.0,1709.0,3503.0,765.0,1568.0,3218.0,68583.0,3218.0,-547.0,2.6,15.0
3,3.0,3.0,13821.181558,41463.544674000004,,,,,820.0,2461.0,1884.0,5652.0,843.0,2529.0,3547.0,72272.0,3547.0,3142.0,,,,,709.0,2234.0,1627.0,5131.0,728.0,2296.0,3064.0,71648.0,3064.0,2518.0,2.6,17.5
4,4.0,4.0,13821.181558,55284.726232,,,,,820.0,3281.0,1884.0,7536.0,843.0,3372.0,3547.0,75820.0,3547.0,6690.0,,,,,675.0,2909.0,1550.0,6681.0,694.0,2990.0,2919.0,74566.0,2919.0,5436.0,2.6,20.1
5,5.0,5.0,13821.181558,69105.90779,,,,,820.0,4102.0,1884.0,9420.0,843.0,4215.0,3547.0,79367.0,3547.0,10237.0,,,,,643.0,3552.0,1476.0,8157.0,661.0,3650.0,2780.0,77346.0,2780.0,8216.0,2.6,22.7
6,6.0,6.0,13821.181558,82927.089348,,,,,820.0,4922.0,1884.0,11304.0,843.0,5059.0,3547.0,82915.0,3547.0,13785.0,,,,,612.0,4164.0,1406.0,9563.0,629.0,4279.0,2647.0,79993.0,2647.0,10863.0,2.6,25.3
7,7.0,7.0,13821.181558,96748.27090599999,,,,,820.0,5743.0,1884.0,13188.0,843.0,5902.0,3547.0,86462.0,3547.0,17332.0,,,,,583.0,4747.0,1339.0,10902.0,599.0,4878.0,2521.0,82514.0,2521.0,13384.0,2.6,27.8
8,8.0,8.0,13821.181558,110569.45246399999,,,,,820.0,6563.0,1884.0,15072.0,843.0,6745.0,3547.0,90010.0,3547.0,20880.0,,,,,555.0,5302.0,1275.0,12177.0,571.0,5449.0,2401.0,84915.0,2401.0,15785.0,2.6,30.4
9,9.0,9.0,13821.181558,124390.63402199998,,,,,820.0,7383.0,1884.0,16956.0,843.0,7588.0,3547.0,93557.0,3547.0,24427.0,,,,,529.0,5831.0,1214.0,13391.0,543.0,5993.0,2287.0,87202.0,2287.0,18072.0,2.6,33.0
10,10.0,10.0,13821.181558,138211.81558,,,,,820.0,8204.0,1884.0,18840.0,843.0,8431.0,3547.0,97105.0,3547.0,27975.0,,,,,504.0,6335.0,1157.0,14548.0,518.0,6510.0,2178.0,89380.0,2178.0,20250.0,2.6,35.6
10.7,10.7,10.7,9674.82709059999,147886.64267059998,,,,,574.0,8778.0,1319.0,20159.0,590.0,9021.0,2483.0,99588.0,2483.0,30458.0,,,,,341.0,6675.0,782.0,15330.0,350.0,6860.0,1473.0,90853.0,1473.0,21723.0,1.8,37.4
post-use,10.7,11.77,0.0,147886.64267059998,0,69130,0,-7500,0.0,8778.0,0.0,20159.0,0.0,9021.0,0.0,99588.0,0.0,30458.0,0,69130,0.0,-7143.0,0.0,6675.0,0.0,15330.0,0.0,6860.0,0.0,90853.0,0.0,21723.0,0.0,37.4
