period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,69130,69130,,,0.0,0.0,0,0,0.0,0.0,69130.0,69130.0,0.0,0.0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,0.0,0.0,9.8,9.8
1,1,1.0,13363.34444,13363.34444,,,-1389.0,-1389.0,793.0,793.0,1884,1884,815.0,815.0,2104.0,71234.0,2104.0,2104.0,,,-1323.0,-1323.0,755.0,755.0,1794.0,1794.0,776.0,776.0,2004.0,71134.0,2004.0,2004.0,2.5,12.3
2,2,2.0,13363.34444,26726.68888,,,,,793.0,1586.0,1884,3768,815.0,1630.0,3492.0,74726.0,3492.0,5596.0,,,,,719.0,1475.0,1709.0,3503.0,739.0,1516.0,3168.0,74301.0,3168.0,5171.0,2.5,14.8
3,3,3.0,13363.34444,40090.03332,,,,,793.0,2380.0,1884,5652,815.0,2445.0,3492.0,78218.0,3492.0,9088.0,,,,,685.0,2160.0,1627.0,5131.0,704.0,2220.0,3017.0,77318.0,3017.0,8188.0,2.5,17.3
4,4,4.0,13363.34444,53453.37776,,,,,793.0,3173.0,1884,7536,815.0,3261.0,3492.0,81711.0,3492.0,12581.0,,,,,653.0,2813.0,1550.0,6681.0,671.0,2891.0,2873.0,80191.0,2873.0,11061.0,2.5,19.8
5,5,5.0,13363.34444,66816.7222,,,,,793.0,3966.0,1884,9420,815.0,4076.0,3492.0,85203.0,3492.0,16073.0,,,,,621.0,3434.0,1476.0,8157.0,639.0,3529.0,2736.0,82928.0,2736.0,13798.0,2.5,22.3
6,6,6.0,13363.34444,80180.06664,,,,,793.0,4759.0,1884,11304,815.0,4891.0,3492.0,88695.0,3492.0,19565.0,,,,,592.0,4026.0,1406.0,9563.0,608.0,4138.0,2606.0,85534.0,2606.0,16404.0,2.5,24.8
7,7,7.0,13363.34444,93543.41108,,,,,793.0,5552.0,1884,13188,815.0,5706.0,3492.0,92188.0,3492.0,23058.0,,,,,564.0,4590.0,1339.0,10902.0,579.0,4717.0,2482.0,88016.0,2482.0,18886.0,2.5,27.2
8,8,8.0,13363.34444,106906.75552,,,,,793.0,6346.0,1884,15072,815.0,6521.0,3492.0,95680.0,3492.0,26550.0,,,,,537.0,5127.0,1275.0,12177.0,552.0,5269.0,2364.0,90379.0,2364.0,21249.0,2.5,29.7
9,9,9.0,13363.34444,120270.09996,,,,,793.0,7139.0,1884,16956,815.0,7336.0,3492.0,99173.0,3492.0,30043.0,,,,,511.0,5638.0,1214.0,13391.0,525.0,5794.0,2251.0,92631.0,2251.0,23501.0,2.5,32.2
10,10,10.0,13363.34444,133633.4444,,,,,793.0,7932.0,1884,18840,815.0,8152.0,3492.0,102665.0,3492.0,33535.0,,,,,487.0,6125.0,1157.0,14548.0,500.0,6294.0,2144.0,94775.0,2144.0,25645.0,2.5,34.7
11,11,11.0,13363.34444,146996.78884,,,,,793.0,8725.0,1884,20724,815.0,8967.0,3492.0,106157.0,3492.0,37027.0,,,,,464.0,6589.0,1102.0,15649.0,477.0,6771.0,2042.0,96816.0,2042.0,27686.0,2.5,37.2
12,12,12.0,13363.34444,160360.13328,,,,,793.0,9518.0,1884,22608,815.0,9782.0,3492.0,109650.0,3492.0,40520.0,,,,,442.0,7030.0,1049.0,16698.0,454.0,7225.0,1945.0,98761.0,1945.0,29631.0,2.5,39.7
13,13,13.0,13363.34444,173723.47772000002,,,,,793.0,10312.0,1884,24492,815.0,10597.0,3492.0,113142.0,3492.0,44012.0,,,,,421.0,7451.0,999.0,17697.0,432.0,7657.0,1852.0,100613.0,1852.0,31483.0,2.5,42.2
post-use,13,14.3,0.0,173723.47772000002,0,69130,0.0,-1389.0,0.0,10312.0,0,24492,0.0,10597.0,0.0,113142.0,0.0,44012.0,0,69130,0.0,-1323.0,0.0,7451.0,0.0,17697.0,0.0,7657.0,0.0,100613.0,0.0,31483.0,0.0,42.2
