period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,0.0,0.0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,0.0,0.0,9.8,9.8
1,1.0,1.0,11533.46302,11533.46302,,,-7500,-7500,685.0,685.0,1884.0,1884.0,704.0,704.0,-4228.0,64902.0,-4228.0,-4228.0,,,-7143.0,-7143.0,652.0,652.0,1794.0,1794.0,670.0,670.0,-4027.0,65103.0,-4027.0,-4027.0,2.1,12.0
2,2.0,2.0,11533.46302,23066.92604,,,,,685.0,1369.0,1884.0,3768.0,704.0,1407.0,3272.0,68174.0,3272.0,-956.0,,,,,621.0,1273.0,1709.0,3503.0,638.0,1308.0,2968.0,68071.0,2968.0,-1059.0,2.1,14.1
3,3.0,3.0,11533.46302,34600.38906,,,,,685.0,2054.0,1884.0,5652.0,704.0,2111.0,3272.0,71446.0,3272.0,2316.0,,,,,591.0,1864.0,1627.0,5131.0,608.0,1916.0,2827.0,70898.0,2827.0,1768.0,2.1,16.3
4,4.0,4.0,11533.46302,46133.85208,,,,,685.0,2738.0,1884.0,7536.0,704.0,2814.0,3272.0,74718.0,3272.0,5588.0,,,,,563.0,2427.0,1550.0,6681.0,579.0,2495.0,2692.0,73590.0,2692.0,4460.0,2.1,18.4
5,5.0,5.0,11533.46302,57667.31509999999,,,,,685.0,3423.0,1884.0,9420.0,704.0,3518.0,3272.0,77991.0,3272.0,8861.0,,,,,536.0,2964.0,1476.0,8157.0,551.0,3046.0,2564.0,76154.0,2564.0,7024.0,2.1,20.6
6,6.0,6.0,11533.46302,69200.77811999999,,,,,685.0,4107.0,1884.0,11304.0,704.0,4221.0,3272.0,81263.0,3272.0,12133.0,,,,,511.0,3475.0,1406.0,9563.0,525.0,3571.0,2442.0,78595.0,2442.0,9465.0,2.1,22.7
7,7.0,7.0,11533.46302,80734.24113999998,,,,,685.0,4792.0,1884.0,13188.0,704.0,4925.0,3272.0,84535.0,3272.0,15405.0,,,,,487.0,3961.0,1339.0,10902.0,500.0,4071.0,2325.0,80921.0,2325.0,11791.0,2.1,24.9
8,8.0,8.0,11533.46302,92267.70415999998,,,,,685.0,5477.0,1884.0,15072.0,704.0,5628.0,3272.0,87807.0,3272.0,18677.0,,,,,463.0,4425.0,1275.0,12177.0,476.0,4547.0,2215.0,83136.0,2215.0,14006.0,2.1,27.0
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,616.0,6093.0,1696.0,16768.0,633.0,6262.0,2945.0,90752.0,2945.0,21622.0,,,,,399.0,4824.0,1098.0,13275.0,410.0,4957.0,1908.0,85043.0,1908.0,15913.0,1.9,28.9
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0,69130,0,-7500,0.0,6093.0,0.0,16768.0,0.0,6262.0,0.0,90752.0,0.0,21622.0,0,69130,0.0,-7143.0,0.0,4824.0,0.0,13275.0,0.0,4957.0,0.0,85043.0,0.0,15913.0,0.0,28.9
