period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,0.0,0.0,69130,69130,,,0.0,0.0,0.0,0.0,0.0,0.0,69130.0,69130.0,0.0,0.0,9.8,9.8
1,1.0,1.0,12622.201554,12622.201554,,,-7500,-7500,632.0,632.0,1884.0,1884.0,770.0,770.0,-4214.0,64916.0,-4214.0,-4214.0,,,-7317.0,-7317.0,616.0,616.0,1838.0,1838.0,751.0,751.0,-4112.0,65018.0,-4112.0,-4112.0,0.6,10.4
2,2.0,2.0,12622.201554,25244.403108,,,,,632.0,1263.0,1884.0,3768.0,770.0,1540.0,3286.0,68201.0,3286.0,-929.0,,,,,601.0,1218.0,1793.0,3631.0,733.0,1484.0,3127.0,68146.0,3127.0,-984.0,0.6,11.0
3,3.0,3.0,12622.201554,37866.604662,,,,,632.0,1895.0,1884.0,5652.0,770.0,2310.0,3286.0,71487.0,3286.0,2357.0,,,,,587.0,1804.0,1749.0,5381.0,715.0,2199.0,3051.0,71197.0,3051.0,2067.0,0.6,11.6
4,4.0,4.0,12622.201554,50488.806216,,,,,632.0,2527.0,1884.0,7536.0,770.0,3080.0,3286.0,74773.0,3286.0,5643.0,,,,,572.0,2377.0,1707.0,7088.0,698.0,2897.0,2977.0,74174.0,2977.0,5044.0,0.6,12.2
5,5.0,5.0,12622.201554,63111.00777,,,,,632.0,3159.0,1884.0,9420.0,770.0,3850.0,3286.0,78058.0,3286.0,8928.0,,,,,558.0,2935.0,1665.0,8753.0,681.0,3577.0,2904.0,77078.0,2904.0,7948.0,0.6,12.7
6,6.0,6.0,12622.201554,75733.209324,,,,,632.0,3790.0,1884.0,11304.0,770.0,4620.0,3286.0,81344.0,3286.0,12214.0,,,,,545.0,3480.0,1625.0,10377.0,664.0,4241.0,2833.0,79911.0,2833.0,10781.0,0.6,13.3
7,7.0,7.0,12622.201554,88355.410878,,,,,632.0,4422.0,1884.0,13188.0,770.0,5390.0,3286.0,84630.0,3286.0,15500.0,,,,,531.0,4011.0,1585.0,11962.0,648.0,4889.0,2764.0,82675.0,2764.0,13545.0,0.6,13.9
8,8.0,8.0,12622.201554,100977.612432,,,,,632.0,5054.0,1884.0,15072.0,770.0,6160.0,3286.0,87916.0,3286.0,18786.0,,,,,518.0,4530.0,1546.0,13509.0,632.0,5521.0,2697.0,85372.0,2697.0,16242.0,0.6,14.5
8.9,8.9,8.9,11359.981398600004,112337.5938306,,,,,569.0,5622.0,1696.0,16768.0,693.0,6853.0,2957.0,90873.0,2957.0,21743.0,,,,,456.0,4986.0,1361.0,14870.0,556.0,6077.0,2374.0,87746.0,2374.0,18616.0,0.5,15.0
post-use,8.9,9.790000000000001,0.0,112337.5938306,0,69130,0,-7500,0.0,5622.0,0.0,16768.0,0.0,6853.0,0.0,90873.0,0.0,21743.0,0,69130,0.0,-7317.0,0.0,4986.0,0.0,14870.0,0.0,6077.0,0.0,87746.0,0.0,18616.0,0.0,15.0
