period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,0.0,0.0,5.5,5.5
1,1.0,1.0,12622.201554,12622.201554,,,,,3022.0,3022.0,1788.0,1788.0,1275.0,1275.0,6085.0,68829.0,6085.0,6085.0,,,,,2878.0,2878.0,1703.0,1703.0,1214.0,1214.0,5795.0,68539.0,5795.0,5795.0,5.0,10.4
2,2.0,2.0,12622.201554,25244.403108,,,,,3022.0,6044.0,1788.0,3576.0,1275.0,2550.0,6085.0,74914.0,6085.0,12169.0,,,,,2741.0,5619.0,1622.0,3325.0,1156.0,2370.0,5519.0,74058.0,5519.0,11314.0,5.0,15.4
3,3.0,3.0,12622.201554,37866.604662,,,,,3022.0,9065.0,1788.0,5364.0,1275.0,3825.0,6085.0,80998.0,6085.0,18254.0,,,,,2610.0,8229.0,1545.0,4869.0,1101.0,3472.0,5256.0,79314.0,5256.0,16570.0,5.0,20.4
4,4.0,4.0,12622.201554,50488.806216,,,,,3022.0,12087.0,1788.0,7152.0,1275.0,5099.0,6085.0,87083.0,6085.0,24338.0,,,,,2486.0,10715.0,1471.0,6340.0,1049.0,4521.0,5006.0,84320.0,5006.0,21576.0,5.0,25.3
5,5.0,5.0,12622.201554,63111.00777,,,,,3022.0,15109.0,1788.0,8940.0,1275.0,6374.0,6085.0,93167.0,6085.0,30423.0,,,,,2368.0,13083.0,1401.0,7741.0,999.0,5519.0,4767.0,89088.0,4767.0,26343.0,5.0,30.3
6,6.0,6.0,12622.201554,75733.209324,,,,,3022.0,18131.0,1788.0,10728.0,1275.0,7649.0,6085.0,99252.0,6085.0,36508.0,,,,,2255.0,15338.0,1334.0,9075.0,951.0,6471.0,4540.0,93628.0,4540.0,30884.0,5.0,35.3
7,7.0,7.0,12622.201554,88355.410878,,,,,3022.0,21152.0,1788.0,12516.0,1275.0,8924.0,6085.0,105337.0,6085.0,42592.0,,,,,2148.0,17485.0,1271.0,10346.0,906.0,7377.0,4324.0,97952.0,4324.0,35208.0,5.0,40.3
8,8.0,8.0,12622.201554,100977.612432,,,,,3022.0,24174.0,1788.0,14304.0,1275.0,10199.0,6085.0,111421.0,6085.0,48677.0,,,,,2045.0,19530.0,1210.0,11556.0,863.0,8240.0,4118.0,102071.0,4118.0,39326.0,5.0,45.2
8.9,8.9,8.9,11359.981398600004,112337.5938306,,,,,2720.0,26894.0,1609.0,15913.0,1147.0,11346.0,5476.0,116897.0,5476.0,54153.0,,,,,1762.0,21292.0,1042.0,12599.0,743.0,8983.0,3547.0,105618.0,3547.0,42873.0,4.5,49.7
post-use,8.9,9.790000000000001,0.0,112337.5938306,0.0,62744.0,0,0,0.0,26894.0,0.0,15913.0,0.0,11346.0,0.0,116897.0,0.0,54153.0,0.0,62744.0,0,0,0.0,21292.0,0.0,12599.0,0.0,8983.0,0.0,105618.0,0.0,42873.0,0.0,49.7
