period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,0.0,0.0,5.5,5.5
1,1.0,1.0,11533.46302,11533.46302,,,,,2761.0,2761.0,1788.0,1788.0,1165.0,1165.0,5714.0,68458.0,5714.0,5714.0,,,,,2630.0,2630.0,1703.0,1703.0,1109.0,1109.0,5442.0,68186.0,5442.0,5442.0,4.5,10.0
2,2.0,2.0,11533.46302,23066.92604,,,,,2761.0,5522.0,1788.0,3576.0,1165.0,2330.0,5714.0,74172.0,5714.0,11428.0,,,,,2504.0,5134.0,1622.0,3325.0,1057.0,2166.0,5183.0,73369.0,5183.0,10625.0,4.5,14.6
3,3.0,3.0,11533.46302,34600.38906,,,,,2761.0,8283.0,1788.0,5364.0,1165.0,3495.0,5714.0,79886.0,5714.0,17142.0,,,,,2385.0,7519.0,1545.0,4869.0,1006.0,3172.0,4936.0,78305.0,4936.0,15561.0,4.5,19.1
4,4.0,4.0,11533.46302,46133.85208,,,,,2761.0,11045.0,1788.0,7152.0,1165.0,4660.0,5714.0,85600.0,5714.0,22856.0,,,,,2272.0,9791.0,1471.0,6340.0,958.0,4131.0,4701.0,83006.0,4701.0,20262.0,4.5,23.6
5,5.0,5.0,11533.46302,57667.31509999999,,,,,2761.0,13806.0,1788.0,8940.0,1165.0,5824.0,5714.0,91314.0,5714.0,28570.0,,,,,2163.0,11954.0,1401.0,7741.0,913.0,5043.0,4477.0,87483.0,4477.0,24739.0,4.5,28.2
6,6.0,6.0,11533.46302,69200.77811999999,,,,,2761.0,16567.0,1788.0,10728.0,1165.0,6989.0,5714.0,97028.0,5714.0,34284.0,,,,,2060.0,14015.0,1334.0,9075.0,869.0,5913.0,4264.0,91747.0,4264.0,29003.0,4.5,32.7
7,7.0,7.0,11533.46302,80734.24113999998,,,,,2761.0,19328.0,1788.0,12516.0,1165.0,8154.0,5714.0,102742.0,5714.0,39998.0,,,,,1962.0,15977.0,1271.0,10346.0,828.0,6740.0,4061.0,95808.0,4061.0,33063.0,4.5,37.3
8,8.0,8.0,11533.46302,92267.70415999998,,,,,2761.0,22089.0,1788.0,14304.0,1165.0,9319.0,5714.0,108456.0,5714.0,45712.0,,,,,1869.0,17846.0,1210.0,11556.0,788.0,7529.0,3867.0,99675.0,3867.0,36931.0,4.5,41.8
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,2485.0,24574.0,1609.0,15913.0,1048.0,10367.0,5143.0,113599.0,5143.0,50855.0,,,,,1610.0,19455.0,1042.0,12599.0,679.0,8208.0,3331.0,103006.0,3331.0,40262.0,4.1,45.9
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0.0,62744.0,0,0,0.0,24574.0,0.0,15913.0,0.0,10367.0,0.0,113599.0,0.0,50855.0,0.0,62744.0,0,0,0.0,19455.0,0.0,12599.0,0.0,8208.0,0.0,103006.0,0.0,40262.0,0.0,45.9
