period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.54,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,5.5,5.5
1,1.0,1.0,11687.0,11687.0,,,,,1486.0,1486.0,1788.0,1788.0,1180.0,1180.0,4454.0,67199.0,,,,,1450.0,1450.0,1744.0,1744.0,1152.0,1152.0,4346.0,67090.0,4.6,10.1
2,2.0,2.0,11687.0,23374.0,,,,,1486.0,2972.0,1788.0,3576.0,1180.0,2361.0,4454.0,71653.0,,,,,1414.0,2864.0,1702.0,3446.0,1124.0,2275.0,4240.0,71330.0,4.6,14.7
3,3.0,3.0,11687.0,35061.0,,,,,1486.0,4458.0,1788.0,5364.0,1180.0,3541.0,4454.0,76107.0,,,,,1380.0,4244.0,1660.0,5107.0,1096.0,3371.0,4136.0,75466.0,4.6,19.3
4,4.0,4.0,11687.0,46748.0,,,,,1486.0,5944.0,1788.0,7152.0,1180.0,4722.0,4454.0,80561.0,,,,,1346.0,5590.0,1620.0,6726.0,1069.0,4441.0,4035.0,79501.0,4.6,23.9
5,5.0,5.0,11687.0,58435.0,,,,,1486.0,7429.0,1788.0,8940.0,1180.0,5902.0,4454.0,85016.0,,,,,1313.0,6903.0,1580.0,8307.0,1043.0,5484.0,3937.0,83438.0,4.6,28.5
6,6.0,6.0,11687.0,70122.0,,,,,1486.0,8915.0,1788.0,10728.0,1180.0,7082.0,4454.0,89470.0,,,,,1281.0,8184.0,1542.0,9849.0,1018.0,6502.0,3841.0,87279.0,4.6,33.1
7,7.0,7.0,11687.0,81809.0,,,,,1486.0,10401.0,1788.0,12516.0,1180.0,8263.0,4454.0,93924.0,,,,,1250.0,9435.0,1504.0,11353.0,993.0,7495.0,3747.0,91026.0,4.6,37.7
8,8.0,8.0,11687.0,93496.0,,,,,1486.0,11887.0,1788.0,14304.0,1180.0,9443.0,4454.0,98379.0,,,,,1220.0,10654.0,1467.0,12820.0,969.0,8464.0,3656.0,94682.0,4.6,42.3
9,9.0,9.0,11687.0,105183.0,,,,,1486.0,13373.0,1788.0,16092.0,1180.0,10623.0,4454.0,102833.0,,,,,1190.0,11844.0,1432.0,14252.0,945.0,9409.0,3567.0,98249.0,4.6,46.9
10,10.0,10.0,11687.0,116870.0,,,,,1486.0,14859.0,1788.0,17880.0,1180.0,11804.0,4454.0,107287.0,,,,,1161.0,13005.0,1397.0,15649.0,922.0,10331.0,3480.0,101728.0,4.6,51.5
11,11.0,11.0,11687.0,128557.0,,,,,1486.0,16345.0,1788.0,19668.0,1180.0,12984.0,4454.0,111741.0,,,,,1132.0,14137.0,1363.0,17011.0,900.0,11230.0,3395.0,105123.0,4.6,56.1
12,12.0,12.0,11687.0,140244.0,,,,,1486.0,17831.0,1788.0,21456.0,1180.0,14165.0,4454.0,116196.0,,,,,1105.0,15242.0,1329.0,18341.0,878.0,12108.0,3312.0,108435.0,4.6,60.7
13,13.0,13.0,11687.0,151931.0,,,,,1486.0,19317.0,1788.0,23244.0,1180.0,15345.0,4454.0,120650.0,,,,,1078.0,16320.0,1297.0,19638.0,856.0,12964.0,3231.0,111667.0,4.6,65.3
14,14.0,14.0,11687.0,163618.0,,,,,1486.0,20802.0,1788.0,25032.0,1180.0,16525.0,4454.0,125104.0,,,,,1052.0,17371.0,1265.0,20903.0,835.0,13800.0,3152.0,114819.0,4.6,69.9
15,15.0,15.0,11687.0,175305.0,,,,,1486.0,22288.0,1788.0,26820.0,1180.0,17706.0,4454.0,129559.0,,,,,1026.0,18397.0,1235.0,22138.0,815.0,14615.0,3076.0,117894.0,4.6,74.5
15.4,15.4,15.4,4674.800000000004,179979.80000000002,,,,,594.0,22883.0,715.0,27535.0,472.0,18178.0,1782.0,131340.0,,,,,406.0,18804.0,489.0,22627.0,323.0,14938.0,1218.0,119113.0,1.8,76.3
post-use,15.4,16.94,0.0,179979.80000000002,0.0,62744.0,0,0,0.0,22883.0,0.0,27535.0,0.0,18178.0,0.0,131340.0,0.0,62744.0,0,0,0.0,18804.0,0.0,22627.0,0.0,14938.0,0.0,119113.0,0.0,76.3
