period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,0.0,0.0,5.5,5.5
1,1.0,1.0,11533.46302,11533.46302,,,,,1583.0,1583.0,1788.0,1788.0,1165.0,1165.0,4536.0,67281.0,4536.0,4536.0,,,,,1508.0,1508.0,1703.0,1703.0,1109.0,1109.0,4320.0,67065.0,4320.0,4320.0,4.5,10.0
2,2.0,2.0,11533.46302,23066.92604,,,,,1583.0,3167.0,1788.0,3576.0,1165.0,2330.0,4536.0,71817.0,4536.0,9072.0,,,,,1436.0,2944.0,1622.0,3325.0,1057.0,2166.0,4114.0,71179.0,4114.0,8435.0,4.5,14.6
3,3.0,3.0,11533.46302,34600.38906,,,,,1583.0,4750.0,1788.0,5364.0,1165.0,3495.0,4536.0,76353.0,4536.0,13609.0,,,,,1368.0,4312.0,1545.0,4869.0,1006.0,3172.0,3919.0,75098.0,3919.0,12353.0,4.5,19.1
4,4.0,4.0,11533.46302,46133.85208,,,,,1583.0,6333.0,1788.0,7152.0,1165.0,4660.0,4536.0,80889.0,4536.0,18145.0,,,,,1303.0,5614.0,1471.0,6340.0,958.0,4131.0,3732.0,78830.0,3732.0,16085.0,4.5,23.6
5,5.0,5.0,11533.46302,57667.31509999999,,,,,1583.0,7917.0,1788.0,8940.0,1165.0,5824.0,4536.0,85425.0,4536.0,22681.0,,,,,1241.0,6855.0,1401.0,7741.0,913.0,5043.0,3554.0,82384.0,3554.0,19639.0,4.5,28.2
6,6.0,6.0,11533.46302,69200.77811999999,,,,,1583.0,9500.0,1788.0,10728.0,1165.0,6989.0,4536.0,89962.0,4536.0,27217.0,,,,,1182.0,8037.0,1334.0,9075.0,869.0,5913.0,3385.0,85769.0,3385.0,23024.0,4.5,32.7
7,7.0,7.0,11533.46302,80734.24113999998,,,,,1583.0,11083.0,1788.0,12516.0,1165.0,8154.0,4536.0,94498.0,4536.0,31753.0,,,,,1125.0,9162.0,1271.0,10346.0,828.0,6740.0,3224.0,88993.0,3224.0,26248.0,4.5,37.3
8,8.0,8.0,11533.46302,92267.70415999998,,,,,1583.0,12667.0,1788.0,14304.0,1165.0,9319.0,4536.0,99034.0,4536.0,36290.0,,,,,1072.0,10233.0,1210.0,11556.0,788.0,7529.0,3070.0,92063.0,3070.0,29319.0,4.5,41.8
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,1425.0,14092.0,1609.0,15913.0,1048.0,10367.0,4083.0,103117.0,4083.0,40372.0,,,,,923.0,11156.0,1042.0,12599.0,679.0,8208.0,2645.0,94707.0,2645.0,31963.0,4.1,45.9
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0.0,62744.0,0,0,0.0,14092.0,0.0,15913.0,0.0,10367.0,0.0,103117.0,0.0,40372.0,0.0,62744.0,0,0,0.0,11156.0,0.0,12599.0,0.0,8208.0,0.0,94707.0,0.0,31963.0,0.0,45.9
