period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,0.0,0.0,5.5,5.5
1,1.0,1.0,12622.201554,12622.201554,,,,,2269.0,2269.0,1788.0,1788.0,1275.0,1275.0,5332.0,68076.0,5332.0,5332.0,,,,,2161.0,2161.0,1703.0,1703.0,1214.0,1214.0,5078.0,67822.0,5078.0,5078.0,5.0,10.4
2,2.0,2.0,12622.201554,25244.403108,,,,,2269.0,4538.0,1788.0,3576.0,1275.0,2550.0,5332.0,73408.0,5332.0,10663.0,,,,,2058.0,4219.0,1622.0,3325.0,1156.0,2370.0,4836.0,72658.0,4836.0,9914.0,5.0,15.4
3,3.0,3.0,12622.201554,37866.604662,,,,,2269.0,6807.0,1788.0,5364.0,1275.0,3825.0,5332.0,78739.0,5332.0,15995.0,,,,,1960.0,6179.0,1545.0,4869.0,1101.0,3472.0,4606.0,77264.0,4606.0,14520.0,5.0,20.4
4,4.0,4.0,12622.201554,50488.806216,,,,,2269.0,9075.0,1788.0,7152.0,1275.0,5099.0,5332.0,84071.0,5332.0,21327.0,,,,,1867.0,8045.0,1471.0,6340.0,1049.0,4521.0,4386.0,81650.0,4386.0,18906.0,5.0,25.3
5,5.0,5.0,12622.201554,63111.00777,,,,,2269.0,11344.0,1788.0,8940.0,1275.0,6374.0,5332.0,89403.0,5332.0,26658.0,,,,,1778.0,9823.0,1401.0,7741.0,999.0,5519.0,4178.0,85828.0,4178.0,23083.0,5.0,30.3
6,6.0,6.0,12622.201554,75733.209324,,,,,2269.0,13613.0,1788.0,10728.0,1275.0,7649.0,5332.0,94734.0,5332.0,31990.0,,,,,1693.0,11516.0,1334.0,9075.0,951.0,6471.0,3979.0,89806.0,3979.0,27062.0,5.0,35.3
7,7.0,7.0,12622.201554,88355.410878,,,,,2269.0,15882.0,1788.0,12516.0,1275.0,8924.0,5332.0,100066.0,5332.0,37322.0,,,,,1612.0,13128.0,1271.0,10346.0,906.0,7377.0,3789.0,93595.0,3789.0,30851.0,5.0,40.3
8,8.0,8.0,12622.201554,100977.612432,,,,,2269.0,18151.0,1788.0,14304.0,1275.0,10199.0,5332.0,105398.0,5332.0,42654.0,,,,,1536.0,14664.0,1210.0,11556.0,863.0,8240.0,3609.0,97204.0,3609.0,34460.0,5.0,45.2
8.9,8.9,8.9,11359.981398600004,112337.5938306,,,,,2042.0,20193.0,1609.0,15913.0,1147.0,11346.0,4799.0,110196.0,4799.0,47452.0,,,,,1323.0,15987.0,1042.0,12599.0,743.0,8983.0,3108.0,100312.0,3108.0,37568.0,4.5,49.7
post-use,8.9,9.790000000000001,0.0,112337.5938306,0.0,62744.0,0,0,0.0,20193.0,0.0,15913.0,0.0,11346.0,0.0,110196.0,0.0,47452.0,0.0,62744.0,0,0,0.0,15987.0,0.0,12599.0,0.0,8983.0,0.0,100312.0,0.0,37568.0,0.0,49.7
