period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0,0,0.0,0.0,62744.0,62744.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,0.0,0.0,5.5,5.5
1,1,1.0,13363.34444,13363.34444,,,,,2757.0,2757.0,1788,1788,1350.0,1350.0,5895.0,68639.0,5895.0,5895.0,,,,,2690.0,2690.0,1744.0,1744.0,1317.0,1317.0,5751.0,68495.0,5751.0,5751.0,5.3,10.7
2,2,2.0,13363.34444,26726.68888,,,,,2757.0,5514.0,1788,3576,1350.0,2699.0,5895.0,74534.0,5895.0,11790.0,,,,,2624.0,5314.0,1702.0,3446.0,1285.0,2601.0,5611.0,74106.0,5611.0,11362.0,5.3,16.0
3,3,3.0,13363.34444,40090.03332,,,,,2757.0,8271.0,1788,5364,1350.0,4049.0,5895.0,80429.0,5895.0,17685.0,,,,,2560.0,7874.0,1660.0,5107.0,1253.0,3855.0,5474.0,79580.0,5474.0,16836.0,5.3,21.3
4,4,4.0,13363.34444,53453.37776,,,,,2757.0,11029.0,1788,7152,1350.0,5399.0,5895.0,86324.0,5895.0,23579.0,,,,,2498.0,10372.0,1620.0,6726.0,1223.0,5078.0,5340.0,84921.0,5340.0,22176.0,5.3,26.5
5,5,5.0,13363.34444,66816.7222,,,,,2757.0,13786.0,1788,8940,1350.0,6748.0,5895.0,92219.0,5895.0,29474.0,,,,,2437.0,12809.0,1580.0,8307.0,1193.0,6270.0,5210.0,90131.0,5210.0,27386.0,5.3,31.8
6,6,6.0,13363.34444,80180.06664,,,,,2757.0,16543.0,1788,10728,1350.0,8098.0,5895.0,98113.0,5895.0,35369.0,,,,,2377.0,15187.0,1542.0,9849.0,1164.0,7434.0,5083.0,95214.0,5083.0,32470.0,5.3,37.0
7,7,7.0,13363.34444,93543.41108,,,,,2757.0,19300.0,1788,12516,1350.0,9448.0,5895.0,104008.0,5895.0,41264.0,,,,,2319.0,17506.0,1504.0,11353.0,1135.0,8570.0,4959.0,100173.0,4959.0,37429.0,5.3,42.3
8,8,8.0,13363.34444,106906.75552,,,,,2757.0,22057.0,1788,14304,1350.0,10798.0,5895.0,109903.0,5895.0,47159.0,,,,,2263.0,19769.0,1467.0,12820.0,1108.0,9678.0,4838.0,105011.0,4838.0,42267.0,5.3,47.6
9,9,9.0,13363.34444,120270.09996,,,,,2757.0,24814.0,1788,16092,1350.0,12147.0,5895.0,115798.0,5895.0,53054.0,,,,,2208.0,21977.0,1432.0,14252.0,1081.0,10758.0,4720.0,109731.0,4720.0,46987.0,5.3,52.8
10,10,10.0,13363.34444,133633.4444,,,,,2757.0,27571.0,1788,17880,1350.0,13497.0,5895.0,121693.0,5895.0,58948.0,,,,,2154.0,24131.0,1397.0,15649.0,1054.0,11813.0,4605.0,114336.0,4605.0,51592.0,5.3,58.1
11,11,11.0,13363.34444,146996.78884,,,,,2757.0,30329.0,1788,19668,1350.0,14847.0,5895.0,127588.0,5895.0,64843.0,,,,,2101.0,26232.0,1363.0,17011.0,1029.0,12841.0,4493.0,118829.0,4493.0,56085.0,5.3,63.3
12,12,12.0,13363.34444,160360.13328,,,,,2757.0,33086.0,1788,21456,1350.0,16196.0,5895.0,133482.0,5895.0,70738.0,,,,,2050.0,28282.0,1329.0,18341.0,1004.0,13845.0,4383.0,123212.0,4383.0,60468.0,5.3,68.6
13,13,13.0,13363.34444,173723.47772000002,,,,,2757.0,35843.0,1788,23244,1350.0,17546.0,5895.0,139377.0,5895.0,76633.0,,,,,2000.0,30282.0,1297.0,19638.0,979.0,14824.0,4276.0,127488.0,4276.0,64744.0,5.3,73.9
post-use,13,14.3,0.0,173723.47772000002,0.0,62744.0,0,0,0.0,35843.0,0,23244,0.0,17546.0,0.0,139377.0,0.0,76633.0,0.0,62744.0,0,0,0.0,30282.0,0.0,19638.0,0.0,14824.0,0.0,127488.0,0.0,64744.0,0.0,73.9
