period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,0.0,0.0,5.5,5.5
1,1.0,1.0,11533.46302,11533.46302,,,,,2380.0,2380.0,1788.0,1788.0,1165.0,1165.0,5332.0,68077.0,5332.0,5332.0,,,,,2322.0,2322.0,1744.0,1744.0,1136.0,1136.0,5202.0,67947.0,5202.0,5202.0,4.5,10.0
2,2.0,2.0,11533.46302,23066.92604,,,,,2380.0,4759.0,1788.0,3576.0,1165.0,2330.0,5332.0,73409.0,5332.0,10665.0,,,,,2265.0,4586.0,1702.0,3446.0,1109.0,2245.0,5076.0,73022.0,5076.0,10278.0,4.5,14.6
3,3.0,3.0,11533.46302,34600.38906,,,,,2380.0,7139.0,1788.0,5364.0,1165.0,3495.0,5332.0,78742.0,5332.0,15997.0,,,,,2210.0,6796.0,1660.0,5107.0,1082.0,3327.0,4952.0,77974.0,4952.0,15230.0,4.5,19.1
4,4.0,4.0,11533.46302,46133.85208,,,,,2380.0,9518.0,1788.0,7152.0,1165.0,4660.0,5332.0,84074.0,5332.0,21330.0,,,,,2156.0,8952.0,1620.0,6726.0,1055.0,4382.0,4831.0,82805.0,4831.0,20061.0,4.5,23.6
5,5.0,5.0,11533.46302,57667.31509999999,,,,,2380.0,11898.0,1788.0,8940.0,1165.0,5824.0,5332.0,89407.0,5332.0,26662.0,,,,,2103.0,11055.0,1580.0,8307.0,1030.0,5412.0,4713.0,87518.0,4713.0,24774.0,4.5,28.2
6,6.0,6.0,11533.46302,69200.77811999999,,,,,2380.0,14278.0,1788.0,10728.0,1165.0,6989.0,5332.0,94739.0,5332.0,31995.0,,,,,2052.0,13107.0,1542.0,9849.0,1004.0,6416.0,4598.0,92116.0,4598.0,29372.0,4.5,32.7
7,7.0,7.0,11533.46302,80734.24113999998,,,,,2380.0,16657.0,1788.0,12516.0,1165.0,8154.0,5332.0,100072.0,5332.0,37327.0,,,,,2002.0,15109.0,1504.0,11353.0,980.0,7396.0,4486.0,96602.0,4486.0,33858.0,4.5,37.3
8,8.0,8.0,11533.46302,92267.70415999998,,,,,2380.0,19037.0,1788.0,14304.0,1165.0,9319.0,5332.0,105404.0,5332.0,42660.0,,,,,1953.0,17062.0,1467.0,12820.0,956.0,8352.0,4377.0,100979.0,4377.0,38235.0,4.5,41.8
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,2142.0,21178.0,1609.0,15913.0,1048.0,10367.0,4799.0,110203.0,4799.0,47459.0,,,,,1719.0,18781.0,1292.0,14112.0,842.0,9194.0,3852.0,104831.0,3852.0,42087.0,4.1,45.9
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0.0,62744.0,0,0,0.0,21178.0,0.0,15913.0,0.0,10367.0,0.0,110203.0,0.0,47459.0,0.0,62744.0,0,0,0.0,18781.0,0.0,14112.0,0.0,9194.0,0.0,104831.0,0.0,42087.0,0.0,45.9
