period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.54,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,5.5,5.5
1,1.0,1.0,11687.0,11687.0,,,,,1937.0,1937.0,1788.0,1788.0,1180.0,1180.0,4906.0,67650.0,,,,,1890.0,1890.0,1744.0,1744.0,1152.0,1152.0,4786.0,67530.0,4.6,10.1
2,2.0,2.0,11687.0,23374.0,,,,,1937.0,3874.0,1788.0,3576.0,1180.0,2361.0,4906.0,72556.0,,,,,1844.0,3734.0,1702.0,3446.0,1124.0,2275.0,4669.0,72199.0,4.6,14.7
3,3.0,3.0,11687.0,35061.0,,,,,1937.0,5812.0,1788.0,5364.0,1180.0,3541.0,4906.0,77461.0,,,,,1799.0,5533.0,1660.0,5107.0,1096.0,3371.0,4555.0,76755.0,4.6,19.3
4,4.0,4.0,11687.0,46748.0,,,,,1937.0,7749.0,1788.0,7152.0,1180.0,4722.0,4906.0,82367.0,,,,,1755.0,7288.0,1620.0,6726.0,1069.0,4441.0,4444.0,81199.0,4.6,23.9
5,5.0,5.0,11687.0,58435.0,,,,,1937.0,9686.0,1788.0,8940.0,1180.0,5902.0,4906.0,87272.0,,,,,1712.0,9000.0,1580.0,8307.0,1043.0,5484.0,4336.0,85535.0,4.6,28.5
6,6.0,6.0,11687.0,70122.0,,,,,1937.0,11623.0,1788.0,10728.0,1180.0,7082.0,4906.0,92178.0,,,,,1670.0,10670.0,1542.0,9849.0,1018.0,6502.0,4230.0,89765.0,4.6,33.1
7,7.0,7.0,11687.0,81809.0,,,,,1937.0,13560.0,1788.0,12516.0,1180.0,8263.0,4906.0,97083.0,,,,,1630.0,12300.0,1504.0,11353.0,993.0,7495.0,4127.0,93892.0,4.6,37.7
8,8.0,8.0,11687.0,93496.0,,,,,1937.0,15498.0,1788.0,14304.0,1180.0,9443.0,4906.0,101989.0,,,,,1590.0,13890.0,1467.0,12820.0,969.0,8464.0,4026.0,97918.0,4.6,42.3
9,9.0,9.0,11687.0,105183.0,,,,,1937.0,17435.0,1788.0,16092.0,1180.0,10623.0,4906.0,106895.0,,,,,1551.0,15441.0,1432.0,14252.0,945.0,9409.0,3928.0,101846.0,4.6,46.9
10,10.0,10.0,11687.0,116870.0,,,,,1937.0,19372.0,1788.0,17880.0,1180.0,11804.0,4906.0,111800.0,,,,,1513.0,16954.0,1397.0,15649.0,922.0,10331.0,3832.0,105678.0,4.6,51.5
11,11.0,11.0,11687.0,128557.0,,,,,1937.0,21309.0,1788.0,19668.0,1180.0,12984.0,4906.0,116706.0,,,,,1476.0,18431.0,1363.0,17011.0,900.0,11230.0,3739.0,109417.0,4.6,56.1
12,12.0,12.0,11687.0,140244.0,,,,,1937.0,23246.0,1788.0,21456.0,1180.0,14165.0,4906.0,121611.0,,,,,1440.0,19871.0,1329.0,18341.0,878.0,12108.0,3648.0,113065.0,4.6,60.7
13,13.0,13.0,11687.0,151931.0,,,,,1937.0,25184.0,1788.0,23244.0,1180.0,15345.0,4906.0,126517.0,,,,,1405.0,21277.0,1297.0,19638.0,856.0,12964.0,3559.0,116623.0,4.6,65.3
14,14.0,14.0,11687.0,163618.0,,,,,1937.0,27121.0,1788.0,25032.0,1180.0,16525.0,4906.0,131423.0,,,,,1371.0,22648.0,1265.0,20903.0,835.0,13800.0,3472.0,120095.0,4.6,69.9
15,15.0,15.0,11687.0,175305.0,,,,,1937.0,29058.0,1788.0,26820.0,1180.0,17706.0,4906.0,136328.0,,,,,1338.0,23985.0,1235.0,22138.0,815.0,14615.0,3387.0,123482.0,4.6,74.5
15.4,15.4,15.4,4674.800000000004,179979.80000000002,,,,,775.0,29833.0,715.0,27535.0,472.0,18178.0,1962.0,138290.0,,,,,530.0,24515.0,489.0,22627.0,323.0,14938.0,1342.0,124824.0,1.8,76.3
post-use,15.4,16.94,0.0,179979.80000000002,0.0,62744.0,0,0,0.0,29833.0,0.0,27535.0,0.0,18178.0,0.0,138290.0,0.0,62744.0,0,0,0.0,24515.0,0.0,22627.0,0.0,14938.0,0.0,124824.0,0.0,76.3
