period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.9900000000000001,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,0.0,0.0,5.5,5.5
1,1.0,1.0,12954.19509,12954.19509,,,,,2147.0,2147.0,1788.0,1788.0,1308.0,1308.0,5244.0,67988.0,5244.0,5244.0,,,,,2095.0,2095.0,1744.0,1744.0,1276.0,1276.0,5116.0,67860.0,5116.0,5116.0,5.1,10.6
2,2.0,2.0,12954.19509,25908.39018,,,,,2147.0,4294.0,1788.0,3576.0,1308.0,2617.0,5244.0,73232.0,5244.0,10487.0,,,,,2044.0,4139.0,1702.0,3446.0,1245.0,2522.0,4991.0,72851.0,4991.0,10107.0,5.1,15.7
3,3.0,3.0,12954.19509,38862.585269999996,,,,,2147.0,6442.0,1788.0,5364.0,1308.0,3925.0,5244.0,78475.0,5244.0,15731.0,,,,,1994.0,6133.0,1660.0,5107.0,1215.0,3737.0,4869.0,77720.0,4869.0,14976.0,5.1,20.8
4,4.0,4.0,12954.19509,51816.78036,,,,,2147.0,8589.0,1788.0,7152.0,1308.0,5233.0,5244.0,83719.0,5244.0,20974.0,,,,,1945.0,8078.0,1620.0,6726.0,1185.0,4922.0,4750.0,82471.0,4750.0,19726.0,5.1,25.9
5,5.0,5.0,12954.19509,64770.97545,,,,,2147.0,10736.0,1788.0,8940.0,1308.0,6542.0,5244.0,88962.0,5244.0,26218.0,,,,,1898.0,9976.0,1580.0,8307.0,1156.0,6078.0,4635.0,87105.0,4635.0,24361.0,5.1,31.0
6,6.0,6.0,12954.19509,77725.17053999999,,,,,2147.0,12883.0,1788.0,10728.0,1308.0,7850.0,5244.0,94206.0,5244.0,31462.0,,,,,1852.0,11827.0,1542.0,9849.0,1128.0,7207.0,4522.0,91627.0,4522.0,28883.0,5.1,36.1
7,7.0,7.0,12954.19509,90679.36562999999,,,,,2147.0,15031.0,1788.0,12516.0,1308.0,9159.0,5244.0,99450.0,5244.0,36705.0,,,,,1806.0,13634.0,1504.0,11353.0,1101.0,8307.0,4411.0,96038.0,4411.0,33294.0,5.1,41.2
8,8.0,8.0,12954.19509,103633.56071999998,,,,,2147.0,17178.0,1788.0,14304.0,1308.0,10467.0,5244.0,104693.0,5244.0,41949.0,,,,,1762.0,15396.0,1467.0,12820.0,1074.0,9381.0,4304.0,100342.0,4304.0,37597.0,5.1,46.3
9,9.0,9.0,12954.19509,116587.75580999997,,,,,2147.0,19325.0,1788.0,16092.0,1308.0,11775.0,5244.0,109937.0,5244.0,47193.0,,,,,1719.0,17115.0,1432.0,14252.0,1048.0,10429.0,4199.0,104541.0,4199.0,41796.0,5.1,51.4
9.9,9.9,9.9,11658.775581000004,128246.53139099998,,,,,1933.0,21258.0,1609.0,17701.0,1178.0,12953.0,4719.0,114656.0,4719.0,51912.0,,,,,1513.0,18629.0,1260.0,15512.0,922.0,11351.0,3696.0,108236.0,3696.0,45492.0,4.6,56.0
post-use,9.9,10.89,0.0,128246.53139099998,0.0,62744.0,0,0,0.0,21258.0,0.0,17701.0,0.0,12953.0,0.0,114656.0,0.0,51912.0,0.0,62744.0,0,0,0.0,18629.0,0.0,15512.0,0.0,11351.0,0.0,108236.0,0.0,45492.0,0.0,56.0
