period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,0.0,0.0,62744.0,62744.0,,,0.0,0.0,0.0,0.0,0.0,0.0,62744.0,62744.0,0.0,0.0,5.5,5.5
1,1.0,1.0,11533.46302,11533.46302,,,,,1912.0,1912.0,1788.0,1788.0,1165.0,1165.0,4865.0,67609.0,4865.0,4865.0,,,,,1865.0,1865.0,1744.0,1744.0,1136.0,1136.0,4746.0,67490.0,4746.0,4746.0,4.5,10.0
2,2.0,2.0,11533.46302,23066.92604,,,,,1912.0,3823.0,1788.0,3576.0,1165.0,2330.0,4865.0,72474.0,4865.0,9729.0,,,,,1820.0,3685.0,1702.0,3446.0,1109.0,2245.0,4630.0,72121.0,4630.0,9376.0,4.5,14.6
3,3.0,3.0,11533.46302,34600.38906,,,,,1912.0,5735.0,1788.0,5364.0,1165.0,3495.0,4865.0,77338.0,4865.0,14594.0,,,,,1775.0,5460.0,1660.0,5107.0,1082.0,3327.0,4517.0,76638.0,4517.0,13893.0,4.5,19.1
4,4.0,4.0,11533.46302,46133.85208,,,,,1912.0,7647.0,1788.0,7152.0,1165.0,4660.0,4865.0,82203.0,4865.0,19459.0,,,,,1732.0,7192.0,1620.0,6726.0,1055.0,4382.0,4407.0,81045.0,4407.0,18301.0,4.5,23.6
5,5.0,5.0,11533.46302,57667.31509999999,,,,,1912.0,9559.0,1788.0,8940.0,1165.0,5824.0,4865.0,87067.0,4865.0,24323.0,,,,,1690.0,8882.0,1580.0,8307.0,1030.0,5412.0,4300.0,85345.0,4300.0,22600.0,4.5,28.2
6,6.0,6.0,11533.46302,69200.77811999999,,,,,1912.0,11470.0,1788.0,10728.0,1165.0,6989.0,4865.0,91932.0,4865.0,29188.0,,,,,1648.0,10530.0,1542.0,9849.0,1004.0,6416.0,4195.0,89539.0,4195.0,26795.0,4.5,32.7
7,7.0,7.0,11533.46302,80734.24113999998,,,,,1912.0,13382.0,1788.0,12516.0,1165.0,8154.0,4865.0,96797.0,4865.0,34052.0,,,,,1608.0,12138.0,1504.0,11353.0,980.0,7396.0,4092.0,93632.0,4092.0,30887.0,4.5,37.3
8,8.0,8.0,11533.46302,92267.70415999998,,,,,1912.0,15294.0,1788.0,14304.0,1165.0,9319.0,4865.0,101661.0,4865.0,38917.0,,,,,1569.0,13708.0,1467.0,12820.0,956.0,8352.0,3993.0,97624.0,3993.0,34880.0,4.5,41.8
8.9,8.9,8.9,10380.116718000003,102647.82087799998,,,,,1721.0,17015.0,1609.0,15913.0,1048.0,10367.0,4378.0,106040.0,4378.0,43295.0,,,,,1381.0,15089.0,1292.0,14112.0,842.0,9194.0,3514.0,101139.0,3514.0,38394.0,4.1,45.9
post-use,8.9,9.790000000000001,0.0,102647.82087799998,0.0,62744.0,0,0,0.0,17015.0,0.0,15913.0,0.0,10367.0,0.0,106040.0,0.0,43295.0,0.0,62744.0,0,0,0.0,15089.0,0.0,14112.0,0.0,9194.0,0.0,101139.0,0.0,38394.0,0.0,45.9
